cell_id,lat_center,lon_center,date,sm_surface
c0004,41.201023,14.597409,2019-01-01,0.2801427642814815
c0004,41.201023,14.597409,2019-01-04,0.2893674944527448
c0004,41.201023,14.597409,2019-01-07,0.307872050628066
c0004,41.201023,14.597409,2019-01-10,0.3024517064914107
c0004,41.201023,14.597409,2019-01-13,0.3184011632576584
c0004,41.201023,14.597409,2019-01-16,0.3061495557427406
c0004,41.201023,14.597409,2019-01-19,0.3234908226877451
c0004,41.201023,14.597409,2019-01-22,0.3405954485759139
c0004,41.201023,14.597409,2019-01-25,0.3250693833455443
c0004,41.201023,14.597409,2019-01-28,0.3412064976990223
c0004,41.201023,14.597409,2019-01-31,0.341024911403656
c0004,41.201023,14.597409,2019-02-03,0.345611391030252
c0004,41.201023,14.597409,2019-02-06,0.3297657378017902
c0004,41.201023,14.597409,2019-02-09,0.328577040322125
c0004,41.201023,14.597409,2019-02-12,0.3122442727908492
c0004,41.201023,14.597409,2019-02-15,0.3066997413523495
c0004,41.201023,14.597409,2019-02-18,0.3061221644282341
c0004,41.201023,14.597409,2019-02-21,0.2870488533750177
c0004,41.201023,14.597409,2019-02-24,0.2567380650900304
c0004,41.201023,14.597409,2019-02-27,0.263131673168391
c0004,41.201023,14.597409,2019-03-02,0.2909733208827674
c0004,41.201023,14.597409,2019-03-05,0.2732577900402248
c0004,41.201023,14.597409,2019-03-08,0.2635177195072174
c0004,41.201023,14.597409,2019-03-11,0.2812368373386562
c0004,41.201023,14.597409,2019-03-14,0.2914557590149343
c0004,41.201023,14.597409,2019-03-17,0.2666982552036643
c0004,41.201023,14.597409,2019-03-20,0.2418478772975504
c0004,41.201023,14.597409,2019-03-23,0.2257187458686531
c0004,41.201023,14.597409,2019-03-26,0.2282226114533841
c0004,41.201023,14.597409,2019-03-29,0.2137127757072449
c0004,41.201023,14.597409,2019-04-01,0.2097132148221135
c0004,41.201023,14.597409,2019-04-04,0.2572705855593085
c0004,41.201023,14.597409,2019-04-07,0.2368844122625887
c0004,41.201023,14.597409,2019-04-10,0.2677231850102544
c0004,41.201023,14.597409,2019-04-13,0.2695104232057929
c0004,41.201023,14.597409,2019-04-16,0.2358323785476386
c0004,41.201023,14.597409,2019-04-19,0.2148243066854775
c0004,41.201023,14.597409,2019-04-22,0.2602668687701225
c0004,41.201023,14.597409,2019-04-25,0.1998898534104228
c0004,41.201023,14.597409,2019-04-28,0.2144072619266808
c0004,41.201023,14.597409,2019-05-01,0.221325260400772
c0004,41.201023,14.597409,2019-05-04,0.2645908063277602
c0004,41.201023,14.597409,2019-05-07,0.2335401627235115
c0004,41.201023,14.597409,2019-05-10,0.2338097285479307
c0004,41.201023,14.597409,2019-05-13,0.2660347834229469
c0004,41.201023,14.597409,2019-05-16,0.238367577176541
c0004,41.201023,14.597409,2019-05-19,0.2410992103628814
c0004,41.201023,14.597409,2019-05-22,0.2199624705128371
c0004,41.201023,14.597409,2019-05-25,0.2838481460697949
c0004,41.201023,14.597409,2019-05-28,0.2695707530714571
c0004,41.201023,14.597409,2019-05-31,0.2463453252799809
c0004,41.201023,14.597409,2019-06-03,0.2234386244788765
c0004,41.201023,14.597409,2019-06-06,0.180419248715043
c0004,41.201023,14.597409,2019-06-09,0.1417848384007811
c0004,41.201023,14.597409,2019-06-12,0.123562945658341
c0004,41.201023,14.597409,2019-06-15,0.1061937157064676
c0004,41.201023,14.597409,2019-06-18,0.0999793614260852
c0004,41.201023,14.597409,2019-06-21,0.1266383416485041
c0004,41.201023,14.597409,2019-06-24,0.1019969607237726
c0004,41.201023,14.597409,2019-06-27,0.0786422421224415
c0004,41.201023,14.597409,2019-06-30,0.0719526514410972
c0004,41.201023,14.597409,2019-07-01,0.0685904623474925
c0004,41.201023,14.597409,2019-07-04,0.0653555231634527
c0004,41.201023,14.597409,2019-07-07,0.0843526975251734
c0004,41.201023,14.597409,2019-07-10,0.1404357897583395
c0004,41.201023,14.597409,2019-07-13,0.1224514017347246
c0004,41.201023,14.597409,2019-07-16,0.108244127780199
c0004,41.201023,14.597409,2019-07-19,0.0929186939261853
c0004,41.201023,14.597409,2019-07-22,0.0711618134519085
c0004,41.201023,14.597409,2019-07-25,0.0604484276380389
c0004,41.201023,14.597409,2019-07-28,0.1330059120897203
c0004,41.201023,14.597409,2019-07-31,0.1065827776212245
c0004,41.201023,14.597409,2019-08-03,0.0718233474297449
c0004,41.201023,14.597409,2019-08-06,0.0615789011120796
c0004,41.201023,14.597409,2019-08-09,0.0605318517889827
c0004,41.201023,14.597409,2019-08-12,0.0783805559854954
c0004,41.201023,14.597409,2019-08-15,0.0878377256449312
c0004,41.201023,14.597409,2019-08-18,0.0656019528629258
c0004,41.201023,14.597409,2019-08-21,0.07971011698246
c0004,41.201023,14.597409,2019-08-24,0.1411111756693572
c0004,41.201023,14.597409,2019-08-27,0.0982246933039277
c0004,41.201023,14.597409,2019-08-30,0.1274706884752958
c0004,41.201023,14.597409,2019-09-02,0.1418002731632441
c0004,41.201023,14.597409,2019-09-05,0.1005446626804769
c0004,41.201023,14.597409,2019-09-08,0.0934817981906235
c0004,41.201023,14.597409,2019-09-11,0.0749088065233081
c0004,41.201023,14.597409,2019-09-14,0.0645854466827586
c0004,41.201023,14.597409,2019-09-17,0.0789777903817594
c0004,41.201023,14.597409,2019-09-20,0.1289470933377742
c0004,41.201023,14.597409,2019-09-23,0.1698313983157277
c0004,41.201023,14.597409,2019-09-26,0.1343957017175853
c0004,41.201023,14.597409,2019-09-29,0.1103291462641209
c0004,41.201023,14.597409,2019-10-01,0.181307003647089
c0004,41.201023,14.597409,2019-10-04,0.1704570562578737
c0004,41.201023,14.597409,2019-10-07,0.1924565798602998
c0004,41.201023,14.597409,2019-10-10,0.1476709259208292
c0004,41.201023,14.597409,2019-10-13,0.1305270344018936
c0004,41.201023,14.597409,2019-10-16,0.149747647345066
c0004,41.201023,14.597409,2019-10-19,0.1251773231197148
c0004,41.201023,14.597409,2019-10-22,0.1076521453913301
c0004,41.201023,14.597409,2019-10-25,0.1073696298059076
c0004,41.201023,14.597409,2019-10-28,0.101950021693483
c0004,41.201023,14.597409,2019-10-31,0.1362238352186977
c0004,41.201023,14.597409,2019-11-03,0.277119486965239
c0004,41.201023,14.597409,2019-11-06,0.2865188931114972
c0004,41.201023,14.597409,2019-11-09,0.3028880052268505
c0004,41.201023,14.597409,2019-11-12,0.3193741394206881
c0004,41.201023,14.597409,2019-11-15,0.324110795930028
c0004,41.201023,14.597409,2019-11-18,0.3308291729539633
c0004,41.201023,14.597409,2019-11-21,0.3295726049691438
c0004,41.201023,14.597409,2019-11-24,0.3427113346755505
c0004,41.201023,14.597409,2019-11-27,0.3278333498165011
c0004,41.201023,14.597409,2019-11-30,0.3188669066876173
c0004,41.201023,14.597409,2019-12-03,0.309424484707415
c0004,41.201023,14.597409,2019-12-06,0.3077071155421436
c0004,41.201023,14.597409,2019-12-09,0.3186982685700059
c0004,41.201023,14.597409,2019-12-12,0.325423926115036
c0004,41.201023,14.597409,2019-12-15,0.3264812281355261
c0004,41.201023,14.597409,2019-12-18,0.3411428501829505
c0004,41.201023,14.597409,2019-12-21,0.3602455850690603
c0004,41.201023,14.597409,2019-12-24,0.3431860098615288
c0004,41.201023,14.597409,2019-12-27,0.3362668117508293
c0004,41.201023,14.597409,2019-12-30,0.3324655175209045
c0004,41.201023,14.597409,2020-01-01,0.3281046882271767
c0004,41.201023,14.597409,2020-01-04,0.3217008030042052
c0004,41.201023,14.597409,2020-01-07,0.3093908196315169
c0004,41.201023,14.597409,2020-01-10,0.310789418593049
c0004,41.201023,14.597409,2020-01-13,0.302599691413343
c0004,41.201023,14.597409,2020-01-16,0.3042681869119406
c0004,41.201023,14.597409,2020-01-19,0.2952169056981802
c0004,41.201023,14.597409,2020-01-22,0.2818234489299357
c0004,41.201023,14.597409,2020-01-25,0.3034459950402379
c0004,41.201023,14.597409,2020-01-28,0.303487879037857
c0004,41.201023,14.597409,2020-01-31,0.2977581159211695
c0004,41.201023,14.597409,2020-02-03,0.3034568856470286
c0004,41.201023,14.597409,2020-02-06,0.2719356406480074
c0004,41.201023,14.597409,2020-02-09,0.2847070161253214
c0004,41.201023,14.597409,2020-02-12,0.290243521053344
c0004,41.201023,14.597409,2020-02-15,0.2866052285768092
c0004,41.201023,14.597409,2020-02-18,0.2781836446374655
c0004,41.201023,14.597409,2020-02-21,0.2649694075807929
c0004,41.201023,14.597409,2020-02-24,0.2741633608937263
c0004,41.201023,14.597409,2020-02-27,0.2534597585909068
c0004,41.201023,14.597409,2020-03-01,0.286648110486567
c0004,41.201023,14.597409,2020-03-04,0.2848160221241415
c0004,41.201023,14.597409,2020-03-07,0.2871278560720384
c0004,41.201023,14.597409,2020-03-10,0.2646123643964529
c0004,41.201023,14.597409,2020-03-13,0.2717782263644039
c0004,41.201023,14.597409,2020-03-16,0.2418224826455116
c0004,41.201023,14.597409,2020-03-19,0.2277989029884338
c0004,41.201023,14.597409,2020-03-22,0.208238541893661
c0004,41.201023,14.597409,2020-03-25,0.2864050175063312
c0004,41.201023,14.597409,2020-03-28,0.2837153669446707
c0004,41.201023,14.597409,2020-03-31,0.2681669473648071
c0004,41.201023,14.597409,2020-04-01,0.2573215121403336
c0004,41.201023,14.597409,2020-04-04,0.2312463854439556
c0004,41.201023,14.597409,2020-04-07,0.2161428089253604
c0004,41.201023,14.597409,2020-04-10,0.2013099203817546
c0004,41.201023,14.597409,2020-04-13,0.2236297836527228
c0004,41.201023,14.597409,2020-04-16,0.2075975507497787
c0004,41.201023,14.597409,2020-04-19,0.2687254551798105
c0004,41.201023,14.597409,2020-04-22,0.2769350094720721
c0004,41.201023,14.597409,2020-04-25,0.2349661753512919
c0004,41.201023,14.597409,2020-04-28,0.2320300954394042
c0004,41.201023,14.597409,2020-05-01,0.2265561608597636
c0004,41.201023,14.597409,2020-05-04,0.2077422416768968
c0004,41.201023,14.597409,2020-05-07,0.1761009875684976
c0004,41.201023,14.597409,2020-05-10,0.1732914634048938
c0004,41.201023,14.597409,2020-05-13,0.1532968260347843
c0004,41.201023,14.597409,2020-05-16,0.1536518260836601
c0004,41.201023,14.597409,2020-05-19,0.1959915112704038
c0004,41.201023,14.597409,2020-05-22,0.1583496341947466
c0004,41.201023,14.597409,2020-05-25,0.1230662079527974
c0004,41.201023,14.597409,2020-05-28,0.135215100646019
c0004,41.201023,14.597409,2020-05-31,0.1657889633439481
c0004,41.201023,14.597409,2020-06-03,0.1792380164377391
c0004,41.201023,14.597409,2020-06-06,0.1968837226741016
c0004,41.201023,14.597409,2020-06-09,0.168366411793977
c0004,41.201023,14.597409,2020-06-12,0.1433105784002691
c0004,41.201023,14.597409,2020-06-15,0.1662560768425464
c0004,41.201023,14.597409,2020-06-18,0.1561277387663722
c0004,41.201023,14.597409,2020-06-21,0.1580588037148118
c0004,41.201023,14.597409,2020-06-24,0.11179926157929
c0004,41.201023,14.597409,2020-06-27,0.0909371733665466
c0004,41.201023,14.597409,2020-06-30,0.0834960237145423
c0004,41.201023,14.597409,2020-07-01,0.0793619288597256
c0004,41.201023,14.597409,2020-07-04,0.1104906097520142
c0004,41.201023,14.597409,2020-07-07,0.0702054033288732
c0004,41.201023,14.597409,2020-07-10,0.066393065592274
c0004,41.201023,14.597409,2020-07-13,0.0716252289945259
c0004,41.201023,14.597409,2020-07-16,0.1089141459669918
c0004,41.201023,14.597409,2020-07-19,0.1019409194588661
c0004,41.201023,14.597409,2020-07-22,0.069386526546441
c0004,41.201023,14.597409,2020-07-25,0.0956630792468786
c0004,41.201023,14.597409,2020-07-28,0.0736928981961682
c0004,41.201023,14.597409,2020-07-31,0.1048243719618767
c0004,41.201023,14.597409,2020-08-03,0.1028821259737014
c0004,41.201023,14.597409,2020-08-06,0.1368721006438136
c0004,41.201023,14.597409,2020-08-09,0.1053877412341535
c0004,41.201023,14.597409,2020-08-12,0.0903576372656971
c0004,41.201023,14.597409,2020-08-15,0.0800697705475613
c0004,41.201023,14.597409,2020-08-18,0.0654777390416711
c0004,41.201023,14.597409,2020-08-21,0.0657134923152625
c0004,41.201023,14.597409,2020-08-24,0.0638238057494163
c0004,41.201023,14.597409,2020-08-27,0.0658265267964452
c0004,41.201023,14.597409,2020-08-30,0.0902789463754743
c0004,41.201023,14.597409,2020-09-02,0.093284623324871
c0004,41.201023,14.597409,2020-09-05,0.0601494358386844
c0004,41.201023,14.597409,2020-09-08,0.0600799008738249
c0004,41.201023,14.597409,2020-09-11,0.0721248702146113
c0004,41.201023,14.597409,2020-09-14,0.0706711317412555
c0004,41.201023,14.597409,2020-09-17,0.0678520795190706
c0004,41.201023,14.597409,2020-09-20,0.0962078374344855
c0004,41.201023,14.597409,2020-09-23,0.1653141558170318
c0004,41.201023,14.597409,2020-09-26,0.2091436157934367
c0004,41.201023,14.597409,2020-09-29,0.1741008400917053
c0004,41.201023,14.597409,2020-10-01,0.169263085257262
c0004,41.201023,14.597409,2020-10-04,0.1651143367402255
c0004,41.201023,14.597409,2020-10-07,0.196056064683944
c0004,41.201023,14.597409,2020-10-10,0.1940855054184794
c0004,41.201023,14.597409,2020-10-13,0.2168174928985536
c0004,41.201023,14.597409,2020-10-16,0.2176088659092784
c0004,41.201023,14.597409,2020-10-19,0.192398199159652
