cell_id,lat_center,lon_center,date,mean
c0079,41.223546,14.627356,2019-01-01,0.2777148485183716
c0079,41.223546,14.627356,2019-01-04,0.2870505750179291
c0079,41.223546,14.627356,2019-01-07,0.3101935684680938
c0079,41.223546,14.627356,2019-01-10,0.3038531839847564
c0079,41.223546,14.627356,2019-01-13,0.3207714259624481
c0079,41.223546,14.627356,2019-01-16,0.3056769371032715
c0079,41.223546,14.627356,2019-01-19,0.3230340778827667
c0079,41.223546,14.627356,2019-01-22,0.3406952023506164
c0079,41.223546,14.627356,2019-01-25,0.327055275440216
c0079,41.223546,14.627356,2019-01-28,0.342511922121048
c0079,41.223546,14.627356,2019-01-31,0.3418783545494079
c0079,41.223546,14.627356,2019-02-03,0.3470373749732971
c0079,41.223546,14.627356,2019-02-06,0.3305410146713257
c0079,41.223546,14.627356,2019-02-09,0.3302818834781647
c0079,41.223546,14.627356,2019-02-12,0.3144749104976654
c0079,41.223546,14.627356,2019-02-15,0.3083049058914184
c0079,41.223546,14.627356,2019-02-18,0.3070290386676788
c0079,41.223546,14.627356,2019-02-21,0.2857261300086975
c0079,41.223546,14.627356,2019-02-24,0.2523665130138397
c0079,41.223546,14.627356,2019-02-27,0.2602519989013672
c0079,41.223546,14.627356,2019-03-02,0.2932012975215912
c0079,41.223546,14.627356,2019-03-05,0.2751222550868988
c0079,41.223546,14.627356,2019-03-08,0.2637805938720703
c0079,41.223546,14.627356,2019-03-11,0.2795366644859314
c0079,41.223546,14.627356,2019-03-14,0.2918394804000854
c0079,41.223546,14.627356,2019-03-17,0.2668676078319549
c0079,41.223546,14.627356,2019-03-20,0.2421512305736541
c0079,41.223546,14.627356,2019-03-23,0.2287784665822982
c0079,41.223546,14.627356,2019-03-26,0.2285394072532653
c0079,41.223546,14.627356,2019-03-29,0.2111633121967315
c0079,41.223546,14.627356,2019-04-01,0.2065158635377884
c0079,41.223546,14.627356,2019-04-04,0.2594227194786072
c0079,41.223546,14.627356,2019-04-07,0.2378104478120803
c0079,41.223546,14.627356,2019-04-10,0.2677702307701111
c0079,41.223546,14.627356,2019-04-13,0.2697504460811615
c0079,41.223546,14.627356,2019-04-16,0.2381722629070282
c0079,41.223546,14.627356,2019-04-19,0.2147449105978012
c0079,41.223546,14.627356,2019-04-22,0.261989563703537
c0079,41.223546,14.627356,2019-04-25,0.1996702849864959
c0079,41.223546,14.627356,2019-04-28,0.2176330685615539
c0079,41.223546,14.627356,2019-05-01,0.2298976927995681
c0079,41.223546,14.627356,2019-05-04,0.2658753097057342
c0079,41.223546,14.627356,2019-05-07,0.2365406155586242
c0079,41.223546,14.627356,2019-05-10,0.2382522821426391
c0079,41.223546,14.627356,2019-05-13,0.268778383731842
c0079,41.223546,14.627356,2019-05-16,0.2418156117200851
c0079,41.223546,14.627356,2019-05-19,0.2428406476974487
c0079,41.223546,14.627356,2019-05-22,0.2234609574079513
c0079,41.223546,14.627356,2019-05-25,0.2856232523918152
c0079,41.223546,14.627356,2019-05-28,0.2727710604667663
c0079,41.223546,14.627356,2019-05-31,0.2475102990865707
c0079,41.223546,14.627356,2019-06-03,0.223371222615242
c0079,41.223546,14.627356,2019-06-06,0.1798390746116638
c0079,41.223546,14.627356,2019-06-09,0.1364548951387405
c0079,41.223546,14.627356,2019-06-12,0.1147453859448432
c0079,41.223546,14.627356,2019-06-15,0.0978179946541786
c0079,41.223546,14.627356,2019-06-18,0.092161938548088
c0079,41.223546,14.627356,2019-06-21,0.1215343996882438
c0079,41.223546,14.627356,2019-06-24,0.0969013422727584
c0079,41.223546,14.627356,2019-06-27,0.0722604915499687
c0079,41.223546,14.627356,2019-06-30,0.0655298456549644
c0079,41.223546,14.627356,2019-07-01,0.0624775066971778
c0079,41.223546,14.627356,2019-07-04,0.060152493417263
c0079,41.223546,14.627356,2019-07-07,0.0776091516017913
c0079,41.223546,14.627356,2019-07-10,0.1412617862224578
c0079,41.223546,14.627356,2019-07-13,0.1231199130415916
c0079,41.223546,14.627356,2019-07-16,0.1077470034360885
c0079,41.223546,14.627356,2019-07-19,0.0852540433406829
c0079,41.223546,14.627356,2019-07-22,0.0674501657485961
c0079,41.223546,14.627356,2019-07-25,0.0567091554403305
c0079,41.223546,14.627356,2019-07-28,0.1351905465126037
c0079,41.223546,14.627356,2019-07-31,0.1078430712223053
c0079,41.223546,14.627356,2019-08-03,0.0726389661431312
c0079,41.223546,14.627356,2019-08-06,0.0560667365789413
c0079,41.223546,14.627356,2019-08-09,0.0559333078563213
c0079,41.223546,14.627356,2019-08-12,0.070688359439373
c0079,41.223546,14.627356,2019-08-15,0.0815415158867836
c0079,41.223546,14.627356,2019-08-18,0.0658497363328933
c0079,41.223546,14.627356,2019-08-21,0.0806473866105079
c0079,41.223546,14.627356,2019-08-24,0.1510316729545593
c0079,41.223546,14.627356,2019-08-27,0.1060545817017555
c0079,41.223546,14.627356,2019-08-30,0.1343285292387008
c0079,41.223546,14.627356,2019-09-02,0.1431017816066742
c0079,41.223546,14.627356,2019-09-05,0.1002319827675819
c0079,41.223546,14.627356,2019-09-08,0.0925760194659233
