cell_id,lat_center,lon_center,date,wind_speed_ms
c0074,41.223546,14.597409,2019-01-01,2.481596417301738
c0074,41.223546,14.597409,2019-01-02,1.8770769678974315
c0074,41.223546,14.597409,2019-01-03,3.80548566015322
c0074,41.223546,14.597409,2019-01-04,2.688722981018961
c0074,41.223546,14.597409,2019-01-05,0.6012898069143049
c0074,41.223546,14.597409,2019-01-06,0.943795270028082
c0074,41.223546,14.597409,2019-01-07,1.812954735962243
c0074,41.223546,14.597409,2019-01-08,0.7846430836026362
c0074,41.223546,14.597409,2019-01-09,1.6708956382493834
c0074,41.223546,14.597409,2019-01-10,2.4288013361911913
c0074,41.223546,14.597409,2019-01-11,2.3273648354149623
c0074,41.223546,14.597409,2019-01-12,1.770843083409524
c0074,41.223546,14.597409,2019-01-13,0.994252178086023
c0074,41.223546,14.597409,2019-01-14,0.4565425870855805
c0074,41.223546,14.597409,2019-01-15,1.9518027615356883
c0074,41.223546,14.597409,2019-01-16,1.7329719493991664
c0074,41.223546,14.597409,2019-01-17,1.992923502515444
c0074,41.223546,14.597409,2019-01-18,1.9563389253559345
c0074,41.223546,14.597409,2019-01-19,0.940826974463881
c0074,41.223546,14.597409,2019-01-20,0.5822983599250628
c0074,41.223546,14.597409,2019-01-21,0.8231723748729193
c0074,41.223546,14.597409,2019-01-22,0.5338688687178201
c0074,41.223546,14.597409,2019-01-23,1.348744429967632
c0074,41.223546,14.597409,2019-01-24,2.7922537620494965
c0074,41.223546,14.597409,2019-01-25,3.897401082001042
c0074,41.223546,14.597409,2019-01-26,2.4032473488469637
c0074,41.223546,14.597409,2019-01-27,2.3018939067354367
c0074,41.223546,14.597409,2019-01-28,2.961863570540541
c0074,41.223546,14.597409,2019-01-29,0.8736255919549964
c0074,41.223546,14.597409,2019-01-30,1.1937086743377423
c0074,41.223546,14.597409,2019-01-31,2.273964143694383
c0074,41.223546,14.597409,2019-02-01,3.364143271096651
c0074,41.223546,14.597409,2019-02-02,3.4946753473100465
c0074,41.223546,14.597409,2019-02-03,1.5679936819218177
c0074,41.223546,14.597409,2019-02-04,2.7325514945148446
c0074,41.223546,14.597409,2019-02-05,2.833457931495988
c0074,41.223546,14.597409,2019-02-06,3.7201697611684112
c0074,41.223546,14.597409,2019-02-07,0.6172362134079966
c0074,41.223546,14.597409,2019-02-08,0.0826933677616593
c0074,41.223546,14.597409,2019-02-09,1.172305885651149
c0074,41.223546,14.597409,2019-02-10,3.179911578209565
c0074,41.223546,14.597409,2019-02-11,2.3059263350733263
c0074,41.223546,14.597409,2019-02-12,3.264076029335186
c0074,41.223546,14.597409,2019-02-13,4.7863790812371025
c0074,41.223546,14.597409,2019-02-14,2.722332702311744
c0074,41.223546,14.597409,2019-02-15,3.370991995343756
c0074,41.223546,14.597409,2019-02-16,1.6912537642077905
c0074,41.223546,14.597409,2019-02-17,0.3579402062154986
c0074,41.223546,14.597409,2019-02-18,0.7999044979536546
c0074,41.223546,14.597409,2019-02-19,0.859616007696298
c0074,41.223546,14.597409,2019-02-20,0.5577269344283424
c0074,41.223546,14.597409,2019-02-21,0.6950857258247325
c0074,41.223546,14.597409,2019-02-22,1.392671484304154
c0074,41.223546,14.597409,2019-02-23,6.550187089689307
c0074,41.223546,14.597409,2019-02-24,4.89806410794648
c0074,41.223546,14.597409,2019-02-25,3.850786695437646
c0074,41.223546,14.597409,2019-02-26,1.6850323807988512
c0074,41.223546,14.597409,2019-02-27,3.164424195797227
c0074,41.223546,14.597409,2019-02-28,1.024706558026514
c0074,41.223546,14.597409,2019-03-01,1.736496531488109
c0074,41.223546,14.597409,2019-03-02,1.9755015911768712
c0074,41.223546,14.597409,2019-03-03,0.7679002217823313
c0074,41.223546,14.597409,2019-03-04,2.732491900974416
c0074,41.223546,14.597409,2019-03-05,2.565449736256399
c0074,41.223546,14.597409,2019-03-06,1.6004697207979233
c0074,41.223546,14.597409,2019-03-07,2.161387796333739
c0074,41.223546,14.597409,2019-03-08,1.4465238522344426
c0074,41.223546,14.597409,2019-03-09,2.1134533919381733
c0074,41.223546,14.597409,2019-03-10,3.2411387937989087
c0074,41.223546,14.597409,2019-03-11,2.501224882669068
c0074,41.223546,14.597409,2019-03-12,4.642490049633812
c0074,41.223546,14.597409,2019-03-13,1.743226484023255
c0074,41.223546,14.597409,2019-03-14,0.6067259294205416
c0074,41.223546,14.597409,2019-03-15,1.269814186420898
c0074,41.223546,14.597409,2019-03-16,2.2364571068688632
c0074,41.223546,14.597409,2019-03-17,1.8418330671360037
c0074,41.223546,14.597409,2019-03-18,2.19505351363441
c0074,41.223546,14.597409,2019-03-19,0.9745567036657528
c0074,41.223546,14.597409,2019-03-20,3.0258113469285206
c0074,41.223546,14.597409,2019-03-21,3.1160197440406123
c0074,41.223546,14.597409,2019-03-22,2.5450304568658604
c0074,41.223546,14.597409,2019-03-23,1.945761786570195
c0074,41.223546,14.597409,2019-03-24,0.2134694485203918
c0074,41.223546,14.597409,2019-03-25,2.0930706821555183
c0074,41.223546,14.597409,2019-03-26,2.3578685731372966
c0074,41.223546,14.597409,2019-03-27,3.5551261943854313
c0074,41.223546,14.597409,2019-03-28,4.023707031910418
c0074,41.223546,14.597409,2019-03-29,2.9131432068737104
c0074,41.223546,14.597409,2019-03-30,1.427673234512443
c0074,41.223546,14.597409,2019-03-31,0.2652610076389449
c0074,41.223546,14.597409,2019-04-01,0.8828127313165123
c0074,41.223546,14.597409,2019-04-02,1.1187127584331753
c0074,41.223546,14.597409,2019-04-03,1.9125857280753549
c0074,41.223546,14.597409,2019-04-04,2.193255801589046
c0074,41.223546,14.597409,2019-04-05,1.6128598030247483
c0074,41.223546,14.597409,2019-04-06,0.3768487122327229
c0074,41.223546,14.597409,2019-04-07,2.0699418380238828
c0074,41.223546,14.597409,2019-04-08,1.076042354780753
c0074,41.223546,14.597409,2019-04-09,1.2036917814893682
c0074,41.223546,14.597409,2019-04-10,1.8371113199034852
c0074,41.223546,14.597409,2019-04-11,1.0798973233481337
c0074,41.223546,14.597409,2019-04-12,0.590844807437781
c0074,41.223546,14.597409,2019-04-13,1.5670270994098978
c0074,41.223546,14.597409,2019-04-14,0.6289546876641915
c0074,41.223546,14.597409,2019-04-15,2.4108521172740445
c0074,41.223546,14.597409,2019-04-16,0.3551246498887581
c0074,41.223546,14.597409,2019-04-17,0.9916973927047724
c0074,41.223546,14.597409,2019-04-18,2.1007313405638
c0074,41.223546,14.597409,2019-04-19,2.1159902293738204
c0074,41.223546,14.597409,2019-04-20,2.0690449812206992
c0074,41.223546,14.597409,2019-04-21,1.7187465726911688
c0074,41.223546,14.597409,2019-04-22,1.465839250336359
c0074,41.223546,14.597409,2019-04-23,1.5463860057895813
c0074,41.223546,14.597409,2019-04-24,1.0741541765016236
c0074,41.223546,14.597409,2019-04-25,0.249225585151205
c0074,41.223546,14.597409,2019-04-26,1.985249041270981
c0074,41.223546,14.597409,2019-04-27,2.0623705597725763
c0074,41.223546,14.597409,2019-04-28,3.054141536524602
c0074,41.223546,14.597409,2019-04-29,1.4998054196024226
c0074,41.223546,14.597409,2019-04-30,0.8237592560521999
c0074,41.223546,14.597409,2019-05-01,0.6798722539339056
c0074,41.223546,14.597409,2019-05-02,1.488609869656081
c0074,41.223546,14.597409,2019-05-03,2.3024602491219923
c0074,41.223546,14.597409,2019-05-04,0.717014004535505
c0074,41.223546,14.597409,2019-05-05,3.3193974397141086
c0074,41.223546,14.597409,2019-05-06,0.996228801208918
c0074,41.223546,14.597409,2019-05-07,1.115705816745765
c0074,41.223546,14.597409,2019-05-08,1.8945283728432296
c0074,41.223546,14.597409,2019-05-09,2.668402218651404
c0074,41.223546,14.597409,2019-05-10,1.2520393423438927
c0074,41.223546,14.597409,2019-05-11,1.704601766472891
c0074,41.223546,14.597409,2019-05-12,1.0030797507685931
c0074,41.223546,14.597409,2019-05-13,2.174741584780595
c0074,41.223546,14.597409,2019-05-14,2.661631550786978
c0074,41.223546,14.597409,2019-05-15,1.718096787071257
c0074,41.223546,14.597409,2019-05-16,2.1989200569718412
c0074,41.223546,14.597409,2019-05-17,0.5483700979843983
c0074,41.223546,14.597409,2019-05-18,2.125100666416804
c0074,41.223546,14.597409,2019-05-19,2.342768665301123
c0074,41.223546,14.597409,2019-05-20,2.4205760497504687
