cell_id,lat_center,lon_center,date,air_temp_C
c0189,41.259582,14.615377,2019-01-01,3.235145985691772
c0189,41.259582,14.615377,2019-01-02,2.9633591453533477
c0189,41.259582,14.615377,2019-01-03,-0.6445789949039052
c0189,41.259582,14.615377,2019-01-04,-3.4972314275296834
c0189,41.259582,14.615377,2019-01-05,-1.860789572923675
c0189,41.259582,14.615377,2019-01-06,0.8395377864216498
c0189,41.259582,14.615377,2019-01-07,0.2642103888337336
c0189,41.259582,14.615377,2019-01-08,1.2192624993193235
c0189,41.259582,14.615377,2019-01-09,2.8898050322568736
c0189,41.259582,14.615377,2019-01-10,1.3236100247031937
c0189,41.259582,14.615377,2019-01-11,0.4276416759443513
c0189,41.259582,14.615377,2019-01-12,1.0155725369178723
c0189,41.259582,14.615377,2019-01-13,2.989133678044328
c0189,41.259582,14.615377,2019-01-14,3.317163611772966
c0189,41.259582,14.615377,2019-01-15,2.2307639454242034
c0189,41.259582,14.615377,2019-01-16,3.2063591328480188
c0189,41.259582,14.615377,2019-01-17,4.535891321129684
c0189,41.259582,14.615377,2019-01-18,6.353117205206318
c0189,41.259582,14.615377,2019-01-19,4.882786801942936
c0189,41.259582,14.615377,2019-01-20,3.586294256415897
c0189,41.259582,14.615377,2019-01-21,5.068561860851799
c0189,41.259582,14.615377,2019-01-22,4.691915068471072
c0189,41.259582,14.615377,2019-01-23,2.746460932299025
c0189,41.259582,14.615377,2019-01-24,3.1740480303465866
c0189,41.259582,14.615377,2019-01-25,2.3396732655384485
c0189,41.259582,14.615377,2019-01-26,2.046806111730159
c0189,41.259582,14.615377,2019-01-27,4.037493580027075
c0189,41.259582,14.615377,2019-01-28,4.783842020823571
c0189,41.259582,14.615377,2019-01-29,2.024346584425277
c0189,41.259582,14.615377,2019-01-30,2.344405383155494
c0189,41.259582,14.615377,2019-01-31,3.4357179350124003
c0189,41.259582,14.615377,2019-02-01,8.701588830015737
c0189,41.259582,14.615377,2019-02-02,10.426373336906742
c0189,41.259582,14.615377,2019-02-03,6.332991297442231
c0189,41.259582,14.615377,2019-02-04,4.8817543001103445
c0189,41.259582,14.615377,2019-02-05,5.575534893217545
c0189,41.259582,14.615377,2019-02-06,5.225946800212816
c0189,41.259582,14.615377,2019-02-07,5.733505455533382
c0189,41.259582,14.615377,2019-02-08,6.3308868513370635
c0189,41.259582,14.615377,2019-02-09,5.830828010348791
c0189,41.259582,14.615377,2019-02-10,7.03347773157566
c0189,41.259582,14.615377,2019-02-11,6.827237682294755
c0189,41.259582,14.615377,2019-02-12,3.740086888669438
c0189,41.259582,14.615377,2019-02-13,3.1056723783488303
c0189,41.259582,14.615377,2019-02-14,5.4387588988569675
c0189,41.259582,14.615377,2019-02-15,4.906427948456974
c0189,41.259582,14.615377,2019-02-16,4.800426680103589
c0189,41.259582,14.615377,2019-02-17,6.799809244103343
c0189,41.259582,14.615377,2019-02-18,7.000061122158153
c0189,41.259582,14.615377,2019-02-19,5.860323952313962
c0189,41.259582,14.615377,2019-02-20,6.685106178035145
c0189,41.259582,14.615377,2019-02-21,6.6096409398511895
c0189,41.259582,14.615377,2019-02-22,7.016055526350989
c0189,41.259582,14.615377,2019-02-23,0.459366887792918
c0189,41.259582,14.615377,2019-02-24,1.32308934720837
c0189,41.259582,14.615377,2019-02-25,2.09570823134041
c0189,41.259582,14.615377,2019-02-26,5.477401968590321
c0189,41.259582,14.615377,2019-02-27,5.852790125987894
c0189,41.259582,14.615377,2019-02-28,6.366904572795232
c0189,41.259582,14.615377,2019-03-01,6.824814312201108
c0189,41.259582,14.615377,2019-03-02,8.24130813197088
c0189,41.259582,14.615377,2019-03-03,9.283742351101782
c0189,41.259582,14.615377,2019-03-04,8.132536886688479
c0189,41.259582,14.615377,2019-03-05,9.329685867041889
c0189,41.259582,14.615377,2019-03-06,8.832093505094557
c0189,41.259582,14.615377,2019-03-07,10.748765492260024
c0189,41.259582,14.615377,2019-03-08,11.306087212813557
c0189,41.259582,14.615377,2019-03-09,9.65939640915188
c0189,41.259582,14.615377,2019-03-10,8.952180332767073
c0189,41.259582,14.615377,2019-03-11,9.78206397991133
c0189,41.259582,14.615377,2019-03-12,4.831283426882334
c0189,41.259582,14.615377,2019-03-13,6.057321286500257
c0189,41.259582,14.615377,2019-03-14,6.322902149783667
c0189,41.259582,14.615377,2019-03-15,7.899611710665553
c0189,41.259582,14.615377,2019-03-16,8.518713572031304
c0189,41.259582,14.615377,2019-03-17,9.3864757862904
c0189,41.259582,14.615377,2019-03-18,9.02920148462284
c0189,41.259582,14.615377,2019-03-19,8.027551637616103
c0189,41.259582,14.615377,2019-03-20,6.59990079874984
c0189,41.259582,14.615377,2019-03-21,7.452678533186002
c0189,41.259582,14.615377,2019-03-22,8.322339195117644
c0189,41.259582,14.615377,2019-03-23,9.333551288308373
c0189,41.259582,14.615377,2019-03-24,11.548399742145596
c0189,41.259582,14.615377,2019-03-25,9.7301505822586
c0189,41.259582,14.615377,2019-03-26,6.952322399168104
c0189,41.259582,14.615377,2019-03-27,6.0904567938400795
c0189,41.259582,14.615377,2019-03-28,6.6616303159479795
c0189,41.259582,14.615377,2019-03-29,6.797164334748949
c0189,41.259582,14.615377,2019-03-30,8.739815074758154
c0189,41.259582,14.615377,2019-03-31,11.361171737709176
c0189,41.259582,14.615377,2019-04-01,12.808704420199703
c0189,41.259582,14.615377,2019-04-02,11.673072935405548
c0189,41.259582,14.615377,2019-04-03,8.993335179876295
c0189,41.259582,14.615377,2019-04-04,10.172637730075028
c0189,41.259582,14.615377,2019-04-05,9.56317705713719
c0189,41.259582,14.615377,2019-04-06,10.171643418237991
c0189,41.259582,14.615377,2019-04-07,9.330873667207891
c0189,41.259582,14.615377,2019-04-08,8.745098033704272
c0189,41.259582,14.615377,2019-04-09,9.41370782015617
c0189,41.259582,14.615377,2019-04-10,8.82636777356756
c0189,41.259582,14.615377,2019-04-11,8.654446939836472
c0189,41.259582,14.615377,2019-04-12,9.41696034672868
c0189,41.259582,14.615377,2019-04-13,8.78247059413368
c0189,41.259582,14.615377,2019-04-14,8.297014007950821
c0189,41.259582,14.615377,2019-04-15,8.436406612157265
c0189,41.259582,14.615377,2019-04-16,10.06439811878637
c0189,41.259582,14.615377,2019-04-17,11.05665844699794
c0189,41.259582,14.615377,2019-04-18,10.359958941237393
c0189,41.259582,14.615377,2019-04-19,10.480736143069189
