cell_id,lat_center,lon_center,date,mean
c0022,41.205528,14.621367,2019-01-01,3.264479573567712
c0022,41.205528,14.621367,2019-01-02,2.9846403757731537
c0022,41.205528,14.621367,2019-01-03,-0.621198399861612
c0022,41.205528,14.621367,2019-01-04,-3.376215998331702
c0022,41.205528,14.621367,2019-01-05,-1.7687051137287997
c0022,41.205528,14.621367,2019-01-06,1.0683685302734602
c0022,41.205528,14.621367,2019-01-07,0.2499462127685774
c0022,41.205528,14.621367,2019-01-08,1.1265165964762789
c0022,41.205528,14.621367,2019-01-09,2.7294193267822493
c0022,41.205528,14.621367,2019-01-10,1.1198853810628293
c0022,41.205528,14.621367,2019-01-11,0.0792334238688567
c0022,41.205528,14.621367,2019-01-12,0.8835426330566634
c0022,41.205528,14.621367,2019-01-13,2.968485132853232
c0022,41.205528,14.621367,2019-01-14,3.4120663960774777
c0022,41.205528,14.621367,2019-01-15,2.3878424326579193
c0022,41.205528,14.621367,2019-01-16,3.1701522827148665
c0022,41.205528,14.621367,2019-01-17,4.493846511840843
c0022,41.205528,14.621367,2019-01-18,6.403588231404626
c0022,41.205528,14.621367,2019-01-19,4.953216171264671
c0022,41.205528,14.621367,2019-01-20,3.723529434204124
c0022,41.205528,14.621367,2019-01-21,5.215747451782249
c0022,41.205528,14.621367,2019-01-22,4.753371810913109
c0022,41.205528,14.621367,2019-01-23,2.8032012939453352
c0022,41.205528,14.621367,2019-01-24,3.2445636749267805
c0022,41.205528,14.621367,2019-01-25,2.280517196655296
c0022,41.205528,14.621367,2019-01-26,2.0102541605631927
c0022,41.205528,14.621367,2019-01-27,4.0377524058024505
c0022,41.205528,14.621367,2019-01-28,4.844608561197958
c0022,41.205528,14.621367,2019-01-29,2.100786463419638
c0022,41.205528,14.621367,2019-01-30,2.447130457560263
c0022,41.205528,14.621367,2019-01-31,3.464878972371423
c0022,41.205528,14.621367,2019-02-01,8.771989440917991
c0022,41.205528,14.621367,2019-02-02,10.503503417968773
c0022,41.205528,14.621367,2019-02-03,6.423724110921228
c0022,41.205528,14.621367,2019-02-04,4.984508132934593
c0022,41.205528,14.621367,2019-02-05,5.519801076253259
c0022,41.205528,14.621367,2019-02-06,5.201617177327478
c0022,41.205528,14.621367,2019-02-07,5.824324544270837
c0022,41.205528,14.621367,2019-02-08,6.367208735148154
c0022,41.205528,14.621367,2019-02-09,5.930389658610068
c0022,41.205528,14.621367,2019-02-10,7.1006573994954465
c0022,41.205528,14.621367,2019-02-11,6.89645919799807
c0022,41.205528,14.621367,2019-02-12,3.735197957356774
c0022,41.205528,14.621367,2019-02-13,3.1033429463704465
c0022,41.205528,14.621367,2019-02-14,5.516406631469749
c0022,41.205528,14.621367,2019-02-15,4.981631215413415
c0022,41.205528,14.621367,2019-02-16,4.782423909505212
c0022,41.205528,14.621367,2019-02-17,6.8763353983561615
c0022,41.205528,14.621367,2019-02-18,7.000463740030966
c0022,41.205528,14.621367,2019-02-19,5.826619084676111
c0022,41.205528,14.621367,2019-02-20,6.7054096221924055
c0022,41.205528,14.621367,2019-02-21,6.684671656290732
c0022,41.205528,14.621367,2019-02-22,7.064944839477562
c0022,41.205528,14.621367,2019-02-23,0.4907998402913449
c0022,41.205528,14.621367,2019-02-24,1.3310841878255246
c0022,41.205528,14.621367,2019-02-25,2.129930750529013
c0022,41.205528,14.621367,2019-02-26,5.623120880126976
c0022,41.205528,14.621367,2019-02-27,6.061863835652673
c0022,41.205528,14.621367,2019-02-28,6.515384292602562
c0022,41.205528,14.621367,2019-03-01,6.729767735799157
c0022,41.205528,14.621367,2019-03-02,8.215339279174827
c0022,41.205528,14.621367,2019-03-03,9.428627268473347
c0022,41.205528,14.621367,2019-03-04,8.082554753621423
c0022,41.205528,14.621367,2019-03-05,9.363908386230491
