NDVI,cell_id,cloud_pct,lat_center,lon_center,date
,c1919,24.395702362060547,46.190198,18.46745,2019-01-01
,c1919,33.35078811645508,46.190198,18.46745,2019-01-02
0.1626368794606361,c1919,38.22071838378906,46.190198,18.46745,2019-01-03
,c1919,44.00314712524414,46.190198,18.46745,2019-01-04
0.0106363095972058,c1919,53.15957260131836,46.190198,18.46745,2019-01-05
,c1919,38.429840087890625,46.190198,18.46745,2019-01-06
,c1919,37.30973052978515,46.190198,18.46745,2019-01-07
0.0339215920181759,c1919,68.29550170898438,46.190198,18.46745,2019-01-08
,c1919,55.28771209716797,46.190198,18.46745,2019-01-09
0.0604578524755386,c1919,65.02172088623047,46.190198,18.46745,2019-01-10
,c1919,41.504024505615234,46.190198,18.46745,2019-01-11
,c1919,50.72929382324219,46.190198,18.46745,2019-01-12
0.0995592134863589,c1919,70.51091003417969,46.190198,18.46745,2019-01-13
,c1919,26.197986602783203,46.190198,18.46745,2019-01-14
0.400871674477796,c1919,18.750110626220703,46.190198,18.46745,2019-01-15
,c1919,23.49140167236328,46.190198,18.46745,2019-01-16
,c1919,45.89277267456055,46.190198,18.46745,2019-01-17
-0.0009444875450395,c1919,67.38711547851562,46.190198,18.46745,2019-01-18
,c1919,73.442138671875,46.190198,18.46745,2019-01-19
0.0226132613183422,c1919,63.55883026123047,46.190198,18.46745,2019-01-20
,c1919,78.51981353759766,46.190198,18.46745,2019-01-21
,c1919,40.35562515258789,46.190198,18.46745,2019-01-22
0.0041908649102788,c1919,72.50553894042969,46.190198,18.46745,2019-01-23
,c1919,69.14608764648438,46.190198,18.46745,2019-01-24
0.0114611960278251,c1919,57.47917938232422,46.190198,18.46745,2019-01-25
,c1919,57.87823867797851,46.190198,18.46745,2019-01-26
,c1919,62.72929763793945,46.190198,18.46745,2019-01-27
0.0131842593513267,c1919,65.9164047241211,46.190198,18.46745,2019-01-28
,c1919,36.75213623046875,46.190198,18.46745,2019-01-29
0.0034920564223709,c1919,64.07217407226562,46.190198,18.46745,2019-01-30
,c1919,62.53510665893555,46.190198,18.46745,2019-01-31
,c1919,84.40363311767578,46.190198,18.46745,2019-02-01
0.0122894056774353,c1919,84.22444915771484,46.190198,18.46745,2019-02-02
,c1919,69.65267181396484,46.190198,18.46745,2019-02-03
0.1506831019600748,c1919,69.71729278564453,46.190198,18.46745,2019-02-04
,c1919,59.715110778808594,46.190198,18.46745,2019-02-05
,c1919,32.260826110839844,46.190198,18.46745,2019-02-06
0.4810646558220769,c1919,13.251158714294434,46.190198,18.46745,2019-02-07
,c1919,33.32533645629883,46.190198,18.46745,2019-02-08
0.0186202186825019,c1919,46.10972595214844,46.190198,18.46745,2019-02-09
,c1919,50.686492919921875,46.190198,18.46745,2019-02-10
,c1919,51.37491226196289,46.190198,18.46745,2019-02-11
0.3632541571086619,c1919,38.73112869262695,46.190198,18.46745,2019-02-12
,c1919,9.661152839660645,46.190198,18.46745,2019-02-13
0.3267085352404551,c1919,28.553651809692383,46.190198,18.46745,2019-02-14
,c1919,17.284276962280273,46.190198,18.46745,2019-02-15
,c1919,6.6741461753845215,46.190198,18.46745,2019-02-16
0.4224242418359369,c1919,3.5825202465057373,46.190198,18.46745,2019-02-17
,c1919,27.792537689208984,46.190198,18.46745,2019-02-18
0.415921777099758,c1919,14.171810150146484,46.190198,18.46745,2019-02-19
,c1919,42.68000793457031,46.190198,18.46745,2019-02-20
,c1919,21.07296371459961,46.190198,18.46745,2019-02-21
0.0100898759931454,c1919,59.19511413574219,46.190198,18.46745,2019-02-22
,c1919,15.82583713531494,46.190198,18.46745,2019-02-23
0.07980511129483,c1919,42.178462982177734,46.190198,18.46745,2019-02-24
,c1919,39.56498336791992,46.190198,18.46745,2019-02-25
,c1919,48.20328140258789,46.190198,18.46745,2019-02-26
0.3635935846603279,c1919,25.652320861816406,46.190198,18.46745,2019-02-27
,c1919,9.55257511138916,46.190198,18.46745,2019-02-28
0.3330083027627173,c1919,23.51556396484375,46.190198,18.46745,2019-03-01
,c1919,19.432601928710938,46.190198,18.46745,2019-03-02
,c1919,12.930892944335938,46.190198,18.46745,2019-03-03
0.3520880458932934,c1919,30.113365173339844,46.190198,18.46745,2019-03-04
,c1919,58.968265533447266,46.190198,18.46745,2019-03-05
0.4604857585904918,c1919,45.97542572021485,46.190198,18.46745,2019-03-06
,c1919,83.3844223022461,46.190198,18.46745,2019-03-07
,c1919,46.622554779052734,46.190198,18.46745,2019-03-08
0.2522806283973512,c1919,37.73373794555664,46.190198,18.46745,2019-03-09
,c1919,47.64059066772461,46.190198,18.46745,2019-03-10
0.0156201601947669,c1919,67.47924041748047,46.190198,18.46745,2019-03-11
,c1919,12.56840705871582,46.190198,18.46745,2019-03-12
,c1919,48.45397186279297,46.190198,18.46745,2019-03-13
0.093481387814015,c1919,43.594451904296875,46.190198,18.46745,2019-03-14
,c1919,39.07123565673828,46.190198,18.46745,2019-03-15
0.1173584057558408,c1919,28.63509750366211,46.190198,18.46745,2019-03-16
,c1919,32.691856384277344,46.190198,18.46745,2019-03-17
,c1919,37.20555877685547,46.190198,18.46745,2019-03-18
0.0330052743524764,c1919,54.490840911865234,46.190198,18.46745,2019-03-19
,c1919,53.68972396850586,46.190198,18.46745,2019-03-20
0.4843190321416565,c1919,24.634897232055664,46.190198,18.46745,2019-03-21
,c1919,36.32048034667969,46.190198,18.46745,2019-03-22
,c1919,11.514954566955566,46.190198,18.46745,2019-03-23
0.4675606183417432,c1919,0.4398157000541687,46.190198,18.46745,2019-03-24
,c1919,21.000049591064453,46.190198,18.46745,2019-03-25
0.3842442089861089,c1919,38.912261962890625,46.190198,18.46745,2019-03-26
,c1919,71.37560272216797,46.190198,18.46745,2019-03-27
,c1919,25.199308395385746,46.190198,18.46745,2019-03-28
0.4967349914761333,c1919,14.994918823242188,46.190198,18.46745,2019-03-29
,c1919,4.143003463745117,46.190198,18.46745,2019-03-30
0.5005392842478565,c1919,4.921627998352051,46.190198,18.46745,2019-03-31
,c1919,47.06980514526367,46.190198,18.46745,2019-04-01
,c1919,63.07236862182617,46.190198,18.46745,2019-04-02
0.4257950420245464,c1919,80.4278564453125,46.190198,18.46745,2019-04-03
,c1919,71.69856262207031,46.190198,18.46745,2019-04-04
0.0022379284436326,c1919,62.22605514526367,46.190198,18.46745,2019-04-05
,c1919,34.66018295288086,46.190198,18.46745,2019-04-06
,c1919,65.63356018066406,46.190198,18.46745,2019-04-07
0.1956225664745935,c1919,66.18351745605469,46.190198,18.46745,2019-04-08
,c1919,46.362674713134766,46.190198,18.46745,2019-04-09
0.343171130333628,c1919,54.439697265625,46.190198,18.46745,2019-04-10
,c1919,61.31972885131836,46.190198,18.46745,2019-04-11
,c1919,65.55513763427734,46.190198,18.46745,2019-04-12
0.0096241939708074,c1919,72.29029083251953,46.190198,18.46745,2019-04-13
,c1919,50.84527969360352,46.190198,18.46745,2019-04-14
0.6768126237444031,c1919,43.53535079956055,46.190198,18.46745,2019-04-15
,c1919,36.57878494262695,46.190198,18.46745,2019-04-16
,c1919,20.776573181152344,46.190198,18.46745,2019-04-17
0.402481497366191,c1919,14.80529499053955,46.190198,18.46745,2019-04-18
,c1919,40.9810676574707,46.190198,18.46745,2019-04-19
0.7243703192188625,c1919,20.083955764770508,46.190198,18.46745,2019-04-20
,c1919,80.04498291015625,46.190198,18.46745,2019-04-21
,c1919,76.81498718261719,46.190198,18.46745,2019-04-22
0.028066635801098,c1919,59.19289016723633,46.190198,18.46745,2019-04-23
,c1919,62.375370025634766,46.190198,18.46745,2019-04-24
0.6878779753720089,c1919,58.98017883300781,46.190198,18.46745,2019-04-25
,c1919,65.6768569946289,46.190198,18.46745,2019-04-26
,c1919,24.084741592407227,46.190198,18.46745,2019-04-27
0.7868423519970537,c1919,47.90008544921875,46.190198,18.46745,2019-04-28
,c1919,45.24673843383789,46.190198,18.46745,2019-04-29
0.090966657578171,c1919,33.0560417175293,46.190198,18.46745,2019-04-30
,c1919,21.26559829711914,46.190198,18.46745,2019-05-01
,c1919,30.309720993041992,46.190198,18.46745,2019-05-02
0.6002151541315115,c1919,75.67570495605469,46.190198,18.46745,2019-05-03
,c1919,77.07733154296875,46.190198,18.46745,2019-05-04
0.0306685225336582,c1919,46.673828125,46.190198,18.46745,2019-05-05
,c1919,45.63727188110352,46.190198,18.46745,2019-05-06
,c1919,33.01644515991211,46.190198,18.46745,2019-05-07
0.6342553467977615,c1919,30.38773727416992,46.190198,18.46745,2019-05-08
,c1919,52.46446990966797,46.190198,18.46745,2019-05-09
0.7148464354343745,c1919,35.74199295043945,46.190198,18.46745,2019-05-10
,c1919,59.73833084106445,46.190198,18.46745,2019-05-11
,c1919,52.13931655883789,46.190198,18.46745,2019-05-12
0.0106339124797387,c1919,69.71743774414062,46.190198,18.46745,2019-05-13
,c1919,58.08451843261719,46.190198,18.46745,2019-05-14
0.0286808913791334,c1919,51.54821014404297,46.190198,18.46745,2019-05-15
