cell_id,lat_center,lon_center,date,RH
c0009,41.201023,14.627356,2019-01-01,73.48995151998518
c0009,41.201023,14.627356,2019-01-02,70.99862758880306
c0009,41.201023,14.627356,2019-01-03,71.25760378548678
c0009,41.201023,14.627356,2019-01-04,82.22211119112725
c0009,41.201023,14.627356,2019-01-05,83.007682922926
c0009,41.201023,14.627356,2019-01-06,72.08469340696564
c0009,41.201023,14.627356,2019-01-07,86.20544869358667
c0009,41.201023,14.627356,2019-01-08,93.42316381438106
c0009,41.201023,14.627356,2019-01-09,92.67433494203075
c0009,41.201023,14.627356,2019-01-10,81.9391886955637
c0009,41.201023,14.627356,2019-01-11,85.13388090141798
c0009,41.201023,14.627356,2019-01-12,74.84356900803346
c0009,41.201023,14.627356,2019-01-13,77.55014617830285
c0009,41.201023,14.627356,2019-01-14,96.57752804962308
c0009,41.201023,14.627356,2019-01-15,72.87212332859578
c0009,41.201023,14.627356,2019-01-16,74.95897846570952
c0009,41.201023,14.627356,2019-01-17,88.97654935713862
c0009,41.201023,14.627356,2019-01-18,95.68111966046678
c0009,41.201023,14.627356,2019-01-19,90.80548713785817
c0009,41.201023,14.627356,2019-01-20,90.263075460081
c0009,41.201023,14.627356,2019-01-21,89.26664589041634
c0009,41.201023,14.627356,2019-01-22,96.80677167378768
c0009,41.201023,14.627356,2019-01-23,88.9739833777907
c0009,41.201023,14.627356,2019-01-24,92.2316535431822
c0009,41.201023,14.627356,2019-01-25,82.99698924289106
c0009,41.201023,14.627356,2019-01-26,73.05846267366171
c0009,41.201023,14.627356,2019-01-27,75.00965969018154
c0009,41.201023,14.627356,2019-01-28,91.52913388839384
c0009,41.201023,14.627356,2019-01-29,96.4857202093142
c0009,41.201023,14.627356,2019-01-30,92.09742867529714
c0009,41.201023,14.627356,2019-01-31,88.34736403175677
c0009,41.201023,14.627356,2019-02-01,93.98460598262685
c0009,41.201023,14.627356,2019-02-02,84.76000192002176
c0009,41.201023,14.627356,2019-02-03,93.81658781965236
c0009,41.201023,14.627356,2019-02-04,92.15909318948404
c0009,41.201023,14.627356,2019-02-05,81.56637292722809
c0009,41.201023,14.627356,2019-02-06,78.84864158393594
c0009,41.201023,14.627356,2019-02-07,73.29079751419937
c0009,41.201023,14.627356,2019-02-08,85.87075886111877
c0009,41.201023,14.627356,2019-02-09,88.00505535867349
c0009,41.201023,14.627356,2019-02-10,90.10857383377451
c0009,41.201023,14.627356,2019-02-11,84.56735975743709
c0009,41.201023,14.627356,2019-02-12,72.85600966307408
c0009,41.201023,14.627356,2019-02-13,62.02595424127943
c0009,41.201023,14.627356,2019-02-14,65.82360225646602
c0009,41.201023,14.627356,2019-02-15,75.8948224573368
c0009,41.201023,14.627356,2019-02-16,76.47423019379984
c0009,41.201023,14.627356,2019-02-17,66.57083617941663
c0009,41.201023,14.627356,2019-02-18,87.01515475681057
c0009,41.201023,14.627356,2019-02-19,87.4395218599014
c0009,41.201023,14.627356,2019-02-20,79.87473780725963
c0009,41.201023,14.627356,2019-02-21,80.4872241019899
c0009,41.201023,14.627356,2019-02-22,77.32541703050366
c0009,41.201023,14.627356,2019-02-23,59.81717380584629
c0009,41.201023,14.627356,2019-02-24,63.394650055462016
c0009,41.201023,14.627356,2019-02-25,69.61337099060587
c0009,41.201023,14.627356,2019-02-26,58.3563621217045
c0009,41.201023,14.627356,2019-02-27,63.716299087124
c0009,41.201023,14.627356,2019-02-28,70.94131862301779
c0009,41.201023,14.627356,2019-03-01,88.55208750032874
c0009,41.201023,14.627356,2019-03-02,75.57771823379416
c0009,41.201023,14.627356,2019-03-03,63.25031902051313
c0009,41.201023,14.627356,2019-03-04,82.03246982431385
c0009,41.201023,14.627356,2019-03-05,87.69984877023381
c0009,41.201023,14.627356,2019-03-06,82.25300181764092
c0009,41.201023,14.627356,2019-03-07,65.54293067064314
c0009,41.201023,14.627356,2019-03-08,81.379553735004
c0009,41.201023,14.627356,2019-03-09,84.24740321177494
c0009,41.201023,14.627356,2019-03-10,91.18061803946988
c0009,41.201023,14.627356,2019-03-11,89.45069646876544
c0009,41.201023,14.627356,2019-03-12,63.10299255322056
