cell_id,lat_center,lon_center,mean,date
c1741,45.289297,13.071802,0.1838,2019-01-01
c1741,45.289297,13.071802,0.1708,2019-01-17
c1741,45.289297,13.071802,0.1911,2019-02-02
c1741,45.289297,13.071802,0.2152,2019-02-18
c1741,45.289297,13.071802,0.2276,2019-03-06
c1741,45.289297,13.071802,0.2488,2019-03-22
c1741,45.289297,13.071802,0.2903,2019-04-01
c1741,45.289297,13.071802,0.2663,2019-04-17
c1741,45.289297,13.071802,0.3077,2019-05-03
c1741,45.289297,13.071802,0.2967,2019-05-19
c1741,45.289297,13.071802,0.3269,2019-06-04
c1741,45.289297,13.071802,0.3321,2019-06-20
c1741,45.289297,13.071802,0.3724,2019-07-01
c1741,45.289297,13.071802,0.4494,2019-07-17
c1741,45.289297,13.071802,0.4732,2019-08-02
c1741,45.289297,13.071802,0.4247,2019-08-18
c1741,45.289297,13.071802,0.3915,2019-09-03
c1741,45.289297,13.071802,0.2342,2019-09-19
c1741,45.289297,13.071802,0.2311,2019-10-01
c1741,45.289297,13.071802,0.2043,2019-10-17
c1741,45.289297,13.071802,0.1655,2019-11-02
c1741,45.289297,13.071802,0.2182,2019-11-18
c1741,45.289297,13.071802,0.221,2019-12-04
c1741,45.289297,13.071802,0.2186,2020-01-01
c1741,45.289297,13.071802,0.1833,2020-01-17
c1741,45.289297,13.071802,0.2281,2020-02-02
c1741,45.289297,13.071802,0.2193,2020-02-18
c1741,45.289297,13.071802,0.2244,2020-03-05
c1741,45.289297,13.071802,0.2467,2020-03-21
c1741,45.289297,13.071802,0.2683,2020-04-01
c1741,45.289297,13.071802,0.2775,2020-04-17
c1741,45.289297,13.071802,0.3126,2020-05-03
c1741,45.289297,13.071802,0.3145,2020-05-19
c1741,45.289297,13.071802,0.3367,2020-06-04
c1741,45.289297,13.071802,0.4462,2020-06-20
c1741,45.289297,13.071802,0.4667,2020-07-01
c1741,45.289297,13.071802,0.4989,2020-07-17
c1741,45.289297,13.071802,0.5413,2020-08-02
c1741,45.289297,13.071802,0.4668,2020-08-18
c1741,45.289297,13.071802,0.2925,2020-09-03
c1741,45.289297,13.071802,0.2868,2020-09-19
c1741,45.289297,13.071802,0.2586,2020-10-01
c1741,45.289297,13.071802,0.2035,2020-10-17
c1741,45.289297,13.071802,0.1545,2020-11-02
c1741,45.289297,13.071802,0.1752,2020-11-18
c1741,45.289297,13.071802,0.1701,2020-12-04
c1741,45.289297,13.071802,0.1683,2021-01-01
