NDBI,cell_id,cloud_pct,lat_center,lon_center,date
,c1070,24.395702362060547,41.460468,15.769626,2019-01-01
,c1070,33.35078811645508,41.460468,15.769626,2019-01-02
-0.0502462574960855,c1070,38.22071838378906,41.460468,15.769626,2019-01-03
,c1070,44.00314712524414,41.460468,15.769626,2019-01-04
,c1070,53.15957260131836,41.460468,15.769626,2019-01-05
,c1070,38.429840087890625,41.460468,15.769626,2019-01-06
,c1070,37.30973052978515,41.460468,15.769626,2019-01-07
-0.0800573475811838,c1070,68.29550170898438,41.460468,15.769626,2019-01-08
,c1070,55.28771209716797,41.460468,15.769626,2019-01-09
,c1070,65.02172088623047,41.460468,15.769626,2019-01-10
,c1070,41.504024505615234,41.460468,15.769626,2019-01-11
,c1070,50.72929382324219,41.460468,15.769626,2019-01-12
-0.5119693891918204,c1070,70.51091003417969,41.460468,15.769626,2019-01-13
,c1070,26.197986602783203,41.460468,15.769626,2019-01-14
,c1070,18.750110626220703,41.460468,15.769626,2019-01-15
,c1070,23.49140167236328,41.460468,15.769626,2019-01-16
,c1070,45.89277267456055,41.460468,15.769626,2019-01-17
-0.2496856627576162,c1070,67.38711547851562,41.460468,15.769626,2019-01-18
,c1070,73.442138671875,41.460468,15.769626,2019-01-19
,c1070,63.55883026123047,41.460468,15.769626,2019-01-20
,c1070,78.51981353759766,41.460468,15.769626,2019-01-21
,c1070,40.35562515258789,41.460468,15.769626,2019-01-22
-0.0573663276407179,c1070,72.50553894042969,41.460468,15.769626,2019-01-23
,c1070,69.14608764648438,41.460468,15.769626,2019-01-24
,c1070,57.47917938232422,41.460468,15.769626,2019-01-25
,c1070,57.87823867797851,41.460468,15.769626,2019-01-26
,c1070,62.72929763793945,41.460468,15.769626,2019-01-27
-0.1099440871008679,c1070,65.9164047241211,41.460468,15.769626,2019-01-28
,c1070,36.75213623046875,41.460468,15.769626,2019-01-29
,c1070,64.07217407226562,41.460468,15.769626,2019-01-30
,c1070,62.53510665893555,41.460468,15.769626,2019-01-31
,c1070,84.40363311767578,41.460468,15.769626,2019-02-01
-0.3836324327677225,c1070,84.22444915771484,41.460468,15.769626,2019-02-02
,c1070,69.65267181396484,41.460468,15.769626,2019-02-03
,c1070,69.71729278564453,41.460468,15.769626,2019-02-04
,c1070,59.715110778808594,41.460468,15.769626,2019-02-05
,c1070,32.260826110839844,41.460468,15.769626,2019-02-06
-0.0281690202893749,c1070,13.251158714294434,41.460468,15.769626,2019-02-07
,c1070,33.32533645629883,41.460468,15.769626,2019-02-08
,c1070,46.10972595214844,41.460468,15.769626,2019-02-09
,c1070,50.686492919921875,41.460468,15.769626,2019-02-10
,c1070,51.37491226196289,41.460468,15.769626,2019-02-11
-0.0555916856428133,c1070,38.73112869262695,41.460468,15.769626,2019-02-12
,c1070,9.661152839660645,41.460468,15.769626,2019-02-13
,c1070,28.553651809692383,41.460468,15.769626,2019-02-14
,c1070,17.284276962280273,41.460468,15.769626,2019-02-15
,c1070,6.6741461753845215,41.460468,15.769626,2019-02-16
-0.0439598318926793,c1070,3.5825202465057373,41.460468,15.769626,2019-02-17
,c1070,27.792537689208984,41.460468,15.769626,2019-02-18
,c1070,14.171810150146484,41.460468,15.769626,2019-02-19
,c1070,42.68000793457031,41.460468,15.769626,2019-02-20
,c1070,21.07296371459961,41.460468,15.769626,2019-02-21
-0.209918164656309,c1070,59.19511413574219,41.460468,15.769626,2019-02-22
,c1070,15.82583713531494,41.460468,15.769626,2019-02-23
,c1070,42.178462982177734,41.460468,15.769626,2019-02-24
,c1070,39.56498336791992,41.460468,15.769626,2019-02-25
,c1070,48.20328140258789,41.460468,15.769626,2019-02-26
-0.0473480091028767,c1070,25.652320861816406,41.460468,15.769626,2019-02-27
,c1070,9.55257511138916,41.460468,15.769626,2019-02-28
,c1070,23.51556396484375,41.460468,15.769626,2019-03-01
,c1070,19.432601928710938,41.460468,15.769626,2019-03-02
,c1070,12.930892944335938,41.460468,15.769626,2019-03-03
-0.0527376823149119,c1070,30.113365173339844,41.460468,15.769626,2019-03-04
,c1070,58.968265533447266,41.460468,15.769626,2019-03-05
,c1070,45.97542572021485,41.460468,15.769626,2019-03-06
,c1070,83.3844223022461,41.460468,15.769626,2019-03-07
,c1070,46.622554779052734,41.460468,15.769626,2019-03-08
-0.0876643178531151,c1070,37.73373794555664,41.460468,15.769626,2019-03-09
,c1070,47.64059066772461,41.460468,15.769626,2019-03-10
,c1070,67.47924041748047,41.460468,15.769626,2019-03-11
,c1070,12.56840705871582,41.460468,15.769626,2019-03-12
,c1070,48.45397186279297,41.460468,15.769626,2019-03-13
-0.2165665980920063,c1070,43.594451904296875,41.460468,15.769626,2019-03-14
,c1070,39.07123565673828,41.460468,15.769626,2019-03-15
,c1070,28.63509750366211,41.460468,15.769626,2019-03-16
,c1070,32.691856384277344,41.460468,15.769626,2019-03-17
,c1070,37.20555877685547,41.460468,15.769626,2019-03-18
-0.1088563221509505,c1070,54.490840911865234,41.460468,15.769626,2019-03-19
,c1070,53.68972396850586,41.460468,15.769626,2019-03-20
,c1070,24.634897232055664,41.460468,15.769626,2019-03-21
,c1070,36.32048034667969,41.460468,15.769626,2019-03-22
,c1070,11.514954566955566,41.460468,15.769626,2019-03-23
-0.1580399858418447,c1070,0.4398157000541687,41.460468,15.769626,2019-03-24
,c1070,21.000049591064453,41.460468,15.769626,2019-03-25
,c1070,38.912261962890625,41.460468,15.769626,2019-03-26
,c1070,71.37560272216797,41.460468,15.769626,2019-03-27
,c1070,25.199308395385746,41.460468,15.769626,2019-03-28
-0.1805082594544307,c1070,14.994918823242188,41.460468,15.769626,2019-03-29
,c1070,4.143003463745117,41.460468,15.769626,2019-03-30
,c1070,4.921627998352051,41.460468,15.769626,2019-03-31
,c1070,47.06980514526367,41.460468,15.769626,2019-04-01
,c1070,63.07236862182617,41.460468,15.769626,2019-04-02
-0.201630198426785,c1070,80.4278564453125,41.460468,15.769626,2019-04-03
,c1070,71.69856262207031,41.460468,15.769626,2019-04-04
,c1070,62.22605514526367,41.460468,15.769626,2019-04-05
,c1070,34.66018295288086,41.460468,15.769626,2019-04-06
,c1070,65.63356018066406,41.460468,15.769626,2019-04-07
-0.4499371915706092,c1070,66.18351745605469,41.460468,15.769626,2019-04-08
,c1070,46.362674713134766,41.460468,15.769626,2019-04-09
,c1070,54.439697265625,41.460468,15.769626,2019-04-10
,c1070,61.31972885131836,41.460468,15.769626,2019-04-11
,c1070,65.55513763427734,41.460468,15.769626,2019-04-12
-0.2470003325393821,c1070,72.29029083251953,41.460468,15.769626,2019-04-13
,c1070,50.84527969360352,41.460468,15.769626,2019-04-14
,c1070,43.53535079956055,41.460468,15.769626,2019-04-15
,c1070,36.57878494262695,41.460468,15.769626,2019-04-16
,c1070,20.776573181152344,41.460468,15.769626,2019-04-17
-0.1898824859443298,c1070,14.80529499053955,41.460468,15.769626,2019-04-18
,c1070,40.9810676574707,41.460468,15.769626,2019-04-19
,c1070,20.083955764770508,41.460468,15.769626,2019-04-20
,c1070,80.04498291015625,41.460468,15.769626,2019-04-21
,c1070,76.81498718261719,41.460468,15.769626,2019-04-22
-0.1913905174326687,c1070,59.19289016723633,41.460468,15.769626,2019-04-23
,c1070,62.375370025634766,41.460468,15.769626,2019-04-24
,c1070,58.98017883300781,41.460468,15.769626,2019-04-25
,c1070,65.6768569946289,41.460468,15.769626,2019-04-26
,c1070,24.084741592407227,41.460468,15.769626,2019-04-27
-0.1865604111700813,c1070,47.90008544921875,41.460468,15.769626,2019-04-28
,c1070,45.24673843383789,41.460468,15.769626,2019-04-29
,c1070,33.0560417175293,41.460468,15.769626,2019-04-30
,c1070,21.26559829711914,41.460468,15.769626,2019-05-01
,c1070,30.309720993041992,41.460468,15.769626,2019-05-02
-0.1719606737346767,c1070,75.67570495605469,41.460468,15.769626,2019-05-03
,c1070,77.07733154296875,41.460468,15.769626,2019-05-04
,c1070,46.673828125,41.460468,15.769626,2019-05-05
,c1070,45.63727188110352,41.460468,15.769626,2019-05-06
,c1070,33.01644515991211,41.460468,15.769626,2019-05-07
-0.1050087572498754,c1070,30.38773727416992,41.460468,15.769626,2019-05-08
,c1070,52.46446990966797,41.460468,15.769626,2019-05-09
,c1070,35.74199295043945,41.460468,15.769626,2019-05-10
,c1070,59.73833084106445,41.460468,15.769626,2019-05-11
,c1070,52.13931655883789,41.460468,15.769626,2019-05-12
-0.2205797723136689,c1070,69.71743774414062,41.460468,15.769626,2019-05-13
,c1070,58.08451843261719,41.460468,15.769626,2019-05-14
,c1070,51.54821014404297,41.460468,15.769626,2019-05-15
,c1070,39.661376953125,41.460468,15.769626,2019-05-16
,c1070,61.82623291015625,41.460468,15.769626,2019-05-17
-0.4486716607274197,c1070,74.8690185546875,41.460468,15.769626,2019-05-18
,c1070,58.3142204284668,41.460468,15.769626,2019-05-19
,c1070,67.57406616210938,41.460468,15.769626,2019-05-20
,c1070,52.9354362487793,41.460468,15.769626,2019-05-21
,c1070,86.21275329589844,41.460468,15.769626,2019-05-22
-0.073436981258242,c1070,37.61349868774414,41.460468,15.769626,2019-05-23
,c1070,32.519752502441406,41.460468,15.769626,2019-05-24
,c1070,62.77082061767578,41.460468,15.769626,2019-05-25
,c1070,89.98054504394531,41.460468,15.769626,2019-05-26
,c1070,79.06725311279297,41.460468,15.769626,2019-05-27
-0.1678869034821861,c1070,57.55717849731445,41.460468,15.769626,2019-05-28
,c1070,59.11783981323242,41.460468,15.769626,2019-05-29
,c1070,43.596405029296875,41.460468,15.769626,2019-05-30
,c1070,32.29933166503906,41.460468,15.769626,2019-05-31
,c1070,4.458488941192627,41.460468,15.769626,2019-06-01
,c1070,25.9664306640625,41.460468,15.769626,2019-06-02
,c1070,0.2670029997825622,41.460468,15.769626,2019-06-03
,c1070,0.2544350028038025,41.460468,15.769626,2019-06-04
,c1070,0.0007970000151544,41.460468,15.769626,2019-06-05
,c1070,7.899999764049426e-05,41.460468,15.769626,2019-06-06
,c1070,0.011196999810636,41.460468,15.769626,2019-06-07
,c1070,1.079571008682251,41.460468,15.769626,2019-06-09
,c1070,38.658966064453125,41.460468,15.769626,2019-06-10
,c1070,0.0001140000022132,41.460468,15.769626,2019-06-11
,c1070,0.0430480018258094,41.460468,15.769626,2019-06-12
,c1070,0.124839998781681,41.460468,15.769626,2019-06-13
,c1070,0.0065939999185502,41.460468,15.769626,2019-06-14
,c1070,87.50472259521484,41.460468,15.769626,2019-06-15
,c1070,2.6251819133758545,41.460468,15.769626,2019-06-16
,c1070,39.01788711547851,41.460468,15.769626,2019-06-17
,c1070,14.96718692779541,41.460468,15.769626,2019-06-18
,c1070,0.1545629948377609,41.460468,15.769626,2019-06-19
,c1070,99.04344177246094,41.460468,15.769626,2019-06-20
,c1070,0.0,41.460468,15.769626,2019-06-21
,c1070,47.91024398803711,41.460468,15.769626,2019-06-22
,c1070,62.085060119628906,41.460468,15.769626,2019-06-23
,c1070,3.88067889213562,41.460468,15.769626,2019-06-24
,c1070,0.0003579999902285,41.460468,15.769626,2019-06-25
,c1070,0.0001900000061141,41.460468,15.769626,2019-06-26
,c1070,0.0002130000066244,41.460468,15.769626,2019-06-27
,c1070,0.6073349714279175,41.460468,15.769626,2019-06-28
,c1070,26.91414451599121,41.460468,15.769626,2019-06-29
,c1070,0.0028919999022036,41.460468,15.769626,2019-06-30
,c1070,8.698509216308594,41.460468,15.769626,2019-07-01
0.0376401117393785,c1070,7.100620746612549,41.460468,15.769626,2019-07-02
,c1070,14.29305362701416,41.460468,15.769626,2019-07-03
,c1070,22.52865982055664,41.460468,15.769626,2019-07-04
,c1070,12.057228088378906,41.460468,15.769626,2019-07-05
,c1070,17.841360092163086,41.460468,15.769626,2019-07-06
0.0229341399465357,c1070,20.965517044067383,41.460468,15.769626,2019-07-07
,c1070,61.65700912475586,41.460468,15.769626,2019-07-08
,c1070,35.532752990722656,41.460468,15.769626,2019-07-09
,c1070,35.87925720214844,41.460468,15.769626,2019-07-10
,c1070,35.62199401855469,41.460468,15.769626,2019-07-11
0.0347064357425722,c1070,40.498260498046875,41.460468,15.769626,2019-07-12
,c1070,18.13882827758789,41.460468,15.769626,2019-07-13
,c1070,22.92884826660156,41.460468,15.769626,2019-07-14
,c1070,44.005577087402344,41.460468,15.769626,2019-07-15
,c1070,17.656707763671875,41.460468,15.769626,2019-07-16
-0.0197133453224192,c1070,9.18603801727295,41.460468,15.769626,2019-07-17
,c1070,44.57655334472656,41.460468,15.769626,2019-07-18
,c1070,14.941280364990234,41.460468,15.769626,2019-07-19
,c1070,5.501099586486816,41.460468,15.769626,2019-07-20
,c1070,10.406675338745115,41.460468,15.769626,2019-07-21
0.0350299968365088,c1070,17.51602554321289,41.460468,15.769626,2019-07-22
,c1070,6.645646572113037,41.460468,15.769626,2019-07-23
,c1070,5.683901309967041,41.460468,15.769626,2019-07-24
,c1070,3.609473943710327,41.460468,15.769626,2019-07-25
,c1070,6.661850929260254,41.460468,15.769626,2019-07-26
0.0198392637041219,c1070,20.225744247436523,41.460468,15.769626,2019-07-27
,c1070,50.80223846435547,41.460468,15.769626,2019-07-28
,c1070,30.099180221557617,41.460468,15.769626,2019-07-29
,c1070,9.09134006500244,41.460468,15.769626,2019-07-30
,c1070,17.99599266052246,41.460468,15.769626,2019-07-31
0.0299809590976171,c1070,7.7785797119140625,41.460468,15.769626,2019-08-01
,c1070,47.09151077270508,41.460468,15.769626,2019-08-02
,c1070,11.92734146118164,41.460468,15.769626,2019-08-03
,c1070,10.752897262573242,41.460468,15.769626,2019-08-04
,c1070,8.745439529418945,41.460468,15.769626,2019-08-05
0.0256831265789322,c1070,8.931845664978027,41.460468,15.769626,2019-08-06
,c1070,43.30584716796875,41.460468,15.769626,2019-08-07
,c1070,12.511029243469238,41.460468,15.769626,2019-08-08
,c1070,2.9857897758483887,41.460468,15.769626,2019-08-09
,c1070,11.656942367553713,41.460468,15.769626,2019-08-10
0.0244284075469084,c1070,7.280640602111816,41.460468,15.769626,2019-08-11
,c1070,24.054838180541992,41.460468,15.769626,2019-08-12
,c1070,32.51115417480469,41.460468,15.769626,2019-08-13
,c1070,21.758358001708984,41.460468,15.769626,2019-08-14
,c1070,23.17785263061523,41.460468,15.769626,2019-08-15
0.0168075395285089,c1070,25.773181915283203,41.460468,15.769626,2019-08-16
,c1070,29.202667236328125,41.460468,15.769626,2019-08-17
,c1070,5.879406452178955,41.460468,15.769626,2019-08-18
,c1070,7.720332145690918,41.460468,15.769626,2019-08-19
,c1070,25.033435821533203,41.460468,15.769626,2019-08-20
0.021255620002823,c1070,10.941621780395508,41.460468,15.769626,2019-08-21
,c1070,36.75515365600586,41.460468,15.769626,2019-08-22
,c1070,26.82646942138672,41.460468,15.769626,2019-08-23
,c1070,34.71129608154297,41.460468,15.769626,2019-08-24
,c1070,10.667545318603516,41.460468,15.769626,2019-08-25
0.0052970804306855,c1070,13.496148109436035,41.460468,15.769626,2019-08-26
,c1070,17.517501831054688,41.460468,15.769626,2019-08-27
,c1070,21.211742401123047,41.460468,15.769626,2019-08-28
,c1070,52.1226921081543,41.460468,15.769626,2019-08-29
,c1070,20.96989631652832,41.460468,15.769626,2019-08-30
0.0341434584291449,c1070,11.383727073669434,41.460468,15.769626,2019-08-31
,c1070,61.40226364135742,41.460468,15.769626,2019-09-01
,c1070,50.11952209472656,41.460468,15.769626,2019-09-02
,c1070,21.12495994567871,41.460468,15.769626,2019-09-03
,c1070,19.242273330688477,41.460468,15.769626,2019-09-04
0.0222700248770088,c1070,22.368988037109375,41.460468,15.769626,2019-09-05
,c1070,41.07472610473633,41.460468,15.769626,2019-09-06
,c1070,41.526119232177734,41.460468,15.769626,2019-09-07
,c1070,37.053489685058594,41.460468,15.769626,2019-09-08
,c1070,24.718101501464844,41.460468,15.769626,2019-09-09
-0.0224796180119,c1070,50.60316467285156,41.460468,15.769626,2019-09-10
,c1070,31.883975982666016,41.460468,15.769626,2019-09-11
,c1070,15.302361488342283,41.460468,15.769626,2019-09-12
,c1070,5.802070140838623,41.460468,15.769626,2019-09-13
,c1070,34.28905487060547,41.460468,15.769626,2019-09-14
-0.0636685281101603,c1070,16.59280014038086,41.460468,15.769626,2019-09-15
,c1070,6.496312618255615,41.460468,15.769626,2019-09-16
,c1070,11.39264678955078,41.460468,15.769626,2019-09-17
,c1070,37.7768669128418,41.460468,15.769626,2019-09-18
,c1070,33.43122863769531,41.460468,15.769626,2019-09-19
-0.0161542430836871,c1070,23.979249954223633,41.460468,15.769626,2019-09-20
,c1070,42.701927185058594,41.460468,15.769626,2019-09-21
,c1070,64.28447723388672,41.460468,15.769626,2019-09-22
,c1070,51.30207824707031,41.460468,15.769626,2019-09-23
,c1070,35.5372428894043,41.460468,15.769626,2019-09-24
0.0176609545957045,c1070,33.92698287963867,41.460468,15.769626,2019-09-25
,c1070,37.21126174926758,41.460468,15.769626,2019-09-26
,c1070,16.785301208496094,41.460468,15.769626,2019-09-27
,c1070,32.77740478515625,41.460468,15.769626,2019-09-28
,c1070,8.3310546875,41.460468,15.769626,2019-09-29
0.0010926916791109,c1070,15.760005950927734,41.460468,15.769626,2019-09-30
,c1070,4.175051212310791,41.460468,15.769626,2019-10-01
,c1070,4.665566921234131,41.460468,15.769626,2019-10-02
,c1070,33.64202117919922,41.460468,15.769626,2019-10-04
,c1070,0.745855987071991,41.460468,15.769626,2019-10-05
,c1070,20.16898536682129,41.460468,15.769626,2019-10-06
,c1070,99.9892807006836,41.460468,15.769626,2019-10-07
,c1070,52.33580780029297,41.460468,15.769626,2019-10-08
,c1070,62.52465057373047,41.460468,15.769626,2019-10-09
,c1070,87.86470794677734,41.460468,15.769626,2019-10-10
,c1070,0.1864639967679977,41.460468,15.769626,2019-10-11
,c1070,11.415116310119627,41.460468,15.769626,2019-10-12
,c1070,59.11809539794922,41.460468,15.769626,2019-10-13
,c1070,0.9412009716033936,41.460468,15.769626,2019-10-14
,c1070,82.68914031982422,41.460468,15.769626,2019-10-15
,c1070,0.6347929835319519,41.460468,15.769626,2019-10-16
,c1070,2.4363560676574707,41.460468,15.769626,2019-10-17
,c1070,3.226536989212036,41.460468,15.769626,2019-10-18
,c1070,0.2558709979057312,41.460468,15.769626,2019-10-19
,c1070,55.88983154296875,41.460468,15.769626,2019-10-20
,c1070,90.06745910644531,41.460468,15.769626,2019-10-21
,c1070,6.291367053985596,41.460468,15.769626,2019-10-22
,c1070,46.911720275878906,41.460468,15.769626,2019-10-23
,c1070,48.80243682861328,41.460468,15.769626,2019-10-24
,c1070,26.95860481262207,41.460468,15.769626,2019-10-25
,c1070,82.33108520507812,41.460468,15.769626,2019-10-26
,c1070,99.97340393066406,41.460468,15.769626,2019-10-27
,c1070,7.1168599128723145,41.460468,15.769626,2019-10-28
,c1070,1.3038699626922607,41.460468,15.769626,2019-10-29
,c1070,49.88048553466797,41.460468,15.769626,2019-10-30
