cell_id,lat_center,lon_center,mean,date
c1551,44.163171,16.069384,71.08119992930281,2019-01-01
c1551,44.163171,16.069384,67.85662425637575,2019-01-02
c1551,44.163171,16.069384,56.03490434701211,2019-01-03
c1551,44.163171,16.069384,60.21081430410237,2019-01-04
c1551,44.163171,16.069384,75.57420451545465,2019-01-05
c1551,44.163171,16.069384,78.59987047869265,2019-01-06
c1551,44.163171,16.069384,65.0774406994264,2019-01-07
c1551,44.163171,16.069384,82.17210017307954,2019-01-08
c1551,44.163171,16.069384,81.21919789205869,2019-01-09
c1551,44.163171,16.069384,74.42388669199842,2019-01-10
c1551,44.163171,16.069384,71.61839918036694,2019-01-11
c1551,44.163171,16.069384,71.80499496150495,2019-01-12
c1551,44.163171,16.069384,80.45933964245607,2019-01-13
c1551,44.163171,16.069384,90.51268571673766,2019-01-14
c1551,44.163171,16.069384,63.08211385008848,2019-01-15
c1551,44.163171,16.069384,78.02778409988395,2019-01-16
c1551,44.163171,16.069384,92.2281396263782,2019-01-17
c1551,44.163171,16.069384,92.6136589197745,2019-01-18
c1551,44.163171,16.069384,87.00951612091575,2019-01-19
c1551,44.163171,16.069384,84.86513239052437,2019-01-20
c1551,44.163171,16.069384,88.66026505361458,2019-01-21
c1551,44.163171,16.069384,86.40586249279245,2019-01-22
c1551,44.163171,16.069384,90.57351519263472,2019-01-23
c1551,44.163171,16.069384,79.38250632654248,2019-01-24
c1551,44.163171,16.069384,73.38555048361347,2019-01-25
c1551,44.163171,16.069384,68.71586517317847,2019-01-26
c1551,44.163171,16.069384,79.1735422157673,2019-01-27
c1551,44.163171,16.069384,95.17934547188337,2019-01-28
c1551,44.163171,16.069384,88.41827121283022,2019-01-29
c1551,44.163171,16.069384,87.05215399887786,2019-01-30
c1551,44.163171,16.069384,89.71973861838399,2019-01-31
c1551,44.163171,16.069384,93.66720922863624,2019-02-01
c1551,44.163171,16.069384,93.6786551746224,2019-02-02
c1551,44.163171,16.069384,90.90571029455292,2019-02-03
c1551,44.163171,16.069384,73.75946309532229,2019-02-04
c1551,44.163171,16.069384,76.36839248655927,2019-02-05
c1551,44.163171,16.069384,69.82161575864401,2019-02-06
c1551,44.163171,16.069384,67.66592925228053,2019-02-07
c1551,44.163171,16.069384,79.37535352963489,2019-02-08
c1551,44.163171,16.069384,77.84145355646716,2019-02-09
c1551,44.163171,16.069384,85.1682685381536,2019-02-10
c1551,44.163171,16.069384,85.0561866164066,2019-02-11
c1551,44.163171,16.069384,61.61305713237959,2019-02-12
c1551,44.163171,16.069384,64.31206586590704,2019-02-13
c1551,44.163171,16.069384,71.79379546612351,2019-02-14
c1551,44.163171,16.069384,74.97693028673862,2019-02-15
c1551,44.163171,16.069384,66.90045016132905,2019-02-16
c1551,44.163171,16.069384,60.68984249529028,2019-02-17
c1551,44.163171,16.069384,71.09114268037678,2019-02-18
c1551,44.163171,16.069384,85.70990388431825,2019-02-19
c1551,44.163171,16.069384,79.88336107677353,2019-02-20
c1551,44.163171,16.069384,66.56252273106448,2019-02-21
c1551,44.163171,16.069384,73.46296489264486,2019-02-22
c1551,44.163171,16.069384,45.2015786099973,2019-02-23
c1551,44.163171,16.069384,46.54212367807958,2019-02-24
c1551,44.163171,16.069384,49.20551127491011,2019-02-25
c1551,44.163171,16.069384,50.38153488101005,2019-02-26
c1551,44.163171,16.069384,63.10849794157861,2019-02-27
c1551,44.163171,16.069384,64.93776540273076,2019-02-28
c1551,44.163171,16.069384,63.35214723364593,2019-03-01
c1551,44.163171,16.069384,71.9510008328424,2019-03-02
c1551,44.163171,16.069384,70.38133948999409,2019-03-03
c1551,44.163171,16.069384,67.0404185102551,2019-03-04
c1551,44.163171,16.069384,94.0673357676958,2019-03-05
c1551,44.163171,16.069384,79.5513438314914,2019-03-06
c1551,44.163171,16.069384,73.88432945742217,2019-03-07
c1551,44.163171,16.069384,86.4628035701883,2019-03-08
c1551,44.163171,16.069384,85.77049987138288,2019-03-09
c1551,44.163171,16.069384,77.00982664389625,2019-03-10
c1551,44.163171,16.069384,82.39781554792096,2019-03-11
c1551,44.163171,16.069384,60.42986492652276,2019-03-12
c1551,44.163171,16.069384,55.515138327519,2019-03-13
c1551,44.163171,16.069384,62.57103094087886,2019-03-14
c1551,44.163171,16.069384,65.86685604460006,2019-03-15
c1551,44.163171,16.069384,74.76447202770414,2019-03-16
c1551,44.163171,16.069384,79.78853845128863,2019-03-17
c1551,44.163171,16.069384,85.74006614720987,2019-03-18
c1551,44.163171,16.069384,77.19761682656005,2019-03-19
c1551,44.163171,16.069384,68.86083630619332,2019-03-20
c1551,44.163171,16.069384,61.65789328321851,2019-03-21
c1551,44.163171,16.069384,52.577496258408885,2019-03-22
c1551,44.163171,16.069384,56.78155645779694,2019-03-23
c1551,44.163171,16.069384,59.622971788622245,2019-03-24
c1551,44.163171,16.069384,62.977216163258475,2019-03-25
c1551,44.163171,16.069384,62.28767264874392,2019-03-26
c1551,44.163171,16.069384,53.2244857599236,2019-03-27
c1551,44.163171,16.069384,44.24553583743762,2019-03-28
c1551,44.163171,16.069384,50.083489314683206,2019-03-29
c1551,44.163171,16.069384,55.93499460893244,2019-03-30
c1551,44.163171,16.069384,57.21977526834552,2019-03-31
c1551,44.163171,16.069384,54.96176489794994,2019-04-01
c1551,44.163171,16.069384,63.02866734192068,2019-04-02
c1551,44.163171,16.069384,70.48795386099853,2019-04-03
c1551,44.163171,16.069384,78.37010891046303,2019-04-04
c1551,44.163171,16.069384,72.25279780889964,2019-04-05
c1551,44.163171,16.069384,60.994953566360145,2019-04-06
c1551,44.163171,16.069384,87.34624828432463,2019-04-07
c1551,44.163171,16.069384,87.2309533372714,2019-04-08
c1551,44.163171,16.069384,79.42552663297,2019-04-09
c1551,44.163171,16.069384,90.97694910143836,2019-04-10
c1551,44.163171,16.069384,86.50684098531764,2019-04-11
c1551,44.163171,16.069384,76.90762397544036,2019-04-12
c1551,44.163171,16.069384,72.45499598269218,2019-04-13
c1551,44.163171,16.069384,73.73655571648918,2019-04-14
c1551,44.163171,16.069384,66.84702649883754,2019-04-15
c1551,44.163171,16.069384,61.02339338250291,2019-04-16
c1551,44.163171,16.069384,54.82640255034387,2019-04-17
c1551,44.163171,16.069384,62.56121315308673,2019-04-18
c1551,44.163171,16.069384,61.18975621670948,2019-04-19
c1551,44.163171,16.069384,54.54828767802115,2019-04-20
c1551,44.163171,16.069384,57.44621789646771,2019-04-21
c1551,44.163171,16.069384,67.83967067716729,2019-04-22
c1551,44.163171,16.069384,78.32874210200107,2019-04-23
c1551,44.163171,16.069384,79.21253519209597,2019-04-24
c1551,44.163171,16.069384,70.99509277805439,2019-04-25
c1551,44.163171,16.069384,66.92745301557936,2019-04-26
c1551,44.163171,16.069384,70.94753844387047,2019-04-27
c1551,44.163171,16.069384,66.63192438049157,2019-04-28
c1551,44.163171,16.069384,82.23529893801998,2019-04-29
c1551,44.163171,16.069384,79.89735663984773,2019-04-30
c1551,44.163171,16.069384,70.99804947614389,2019-05-01
c1551,44.163171,16.069384,70.41938319348047,2019-05-02
c1551,44.163171,16.069384,76.41602259053829,2019-05-03
c1551,44.163171,16.069384,88.13815460911093,2019-05-04
c1551,44.163171,16.069384,83.49964765625597,2019-05-05
c1551,44.163171,16.069384,73.40337690759371,2019-05-06
c1551,44.163171,16.069384,59.59335396591427,2019-05-07
c1551,44.163171,16.069384,66.61856374001941,2019-05-08
c1551,44.163171,16.069384,88.55798002748057,2019-05-09
c1551,44.163171,16.069384,73.01067860472251,2019-05-10
