cell_id,cloud_pct,lat_center,lon_center,date,NDWI
c0876,24.395702362060547,40.334342,17.568175,2019-01-01,
c0876,33.35078811645508,40.334342,17.568175,2019-01-02,
c0876,38.22071838378906,40.334342,17.568175,2019-01-03,
c0876,44.00314712524414,40.334342,17.568175,2019-01-04,
c0876,53.15957260131836,40.334342,17.568175,2019-01-05,-0.1419494543244843
c0876,38.429840087890625,40.334342,17.568175,2019-01-06,
c0876,37.30973052978515,40.334342,17.568175,2019-01-07,
c0876,68.29550170898438,40.334342,17.568175,2019-01-08,
c0876,55.28771209716797,40.334342,17.568175,2019-01-09,
c0876,65.02172088623047,40.334342,17.568175,2019-01-10,0.0012249733223047
c0876,41.504024505615234,40.334342,17.568175,2019-01-11,
c0876,50.72929382324219,40.334342,17.568175,2019-01-12,
c0876,70.51091003417969,40.334342,17.568175,2019-01-13,
c0876,26.197986602783203,40.334342,17.568175,2019-01-14,
c0876,18.750110626220703,40.334342,17.568175,2019-01-15,-0.3946657238468047
c0876,23.49140167236328,40.334342,17.568175,2019-01-16,
c0876,45.89277267456055,40.334342,17.568175,2019-01-17,
c0876,67.38711547851562,40.334342,17.568175,2019-01-18,
c0876,73.442138671875,40.334342,17.568175,2019-01-19,
c0876,63.55883026123047,40.334342,17.568175,2019-01-20,-0.1772519964451664
c0876,78.51981353759766,40.334342,17.568175,2019-01-21,
c0876,40.35562515258789,40.334342,17.568175,2019-01-22,
c0876,72.50553894042969,40.334342,17.568175,2019-01-23,
c0876,69.14608764648438,40.334342,17.568175,2019-01-24,
c0876,57.47917938232422,40.334342,17.568175,2019-01-25,-0.0320477366305428
c0876,57.87823867797851,40.334342,17.568175,2019-01-26,
c0876,62.72929763793945,40.334342,17.568175,2019-01-27,
c0876,65.9164047241211,40.334342,17.568175,2019-01-28,
c0876,36.75213623046875,40.334342,17.568175,2019-01-29,
c0876,64.07217407226562,40.334342,17.568175,2019-01-30,-0.1696544612055956
c0876,62.53510665893555,40.334342,17.568175,2019-01-31,
c0876,84.40363311767578,40.334342,17.568175,2019-02-01,
c0876,84.22444915771484,40.334342,17.568175,2019-02-02,
c0876,69.65267181396484,40.334342,17.568175,2019-02-03,
c0876,69.71729278564453,40.334342,17.568175,2019-02-04,0.0437807313049119
c0876,59.715110778808594,40.334342,17.568175,2019-02-05,
c0876,32.260826110839844,40.334342,17.568175,2019-02-06,
c0876,13.251158714294434,40.334342,17.568175,2019-02-07,
c0876,33.32533645629883,40.334342,17.568175,2019-02-08,
c0876,46.10972595214844,40.334342,17.568175,2019-02-09,-0.234531532809182
c0876,50.686492919921875,40.334342,17.568175,2019-02-10,
c0876,51.37491226196289,40.334342,17.568175,2019-02-11,
c0876,38.73112869262695,40.334342,17.568175,2019-02-12,
c0876,9.661152839660645,40.334342,17.568175,2019-02-13,
c0876,28.553651809692383,40.334342,17.568175,2019-02-14,-0.333856444904182
c0876,17.284276962280273,40.334342,17.568175,2019-02-15,
c0876,6.6741461753845215,40.334342,17.568175,2019-02-16,
c0876,3.5825202465057373,40.334342,17.568175,2019-02-17,
c0876,27.792537689208984,40.334342,17.568175,2019-02-18,
c0876,14.171810150146484,40.334342,17.568175,2019-02-19,-0.2463938409457108
c0876,42.68000793457031,40.334342,17.568175,2019-02-20,
c0876,21.07296371459961,40.334342,17.568175,2019-02-21,
c0876,59.19511413574219,40.334342,17.568175,2019-02-22,
c0876,15.82583713531494,40.334342,17.568175,2019-02-23,
c0876,42.178462982177734,40.334342,17.568175,2019-02-24,-0.3349981883928573
c0876,39.56498336791992,40.334342,17.568175,2019-02-25,
c0876,48.20328140258789,40.334342,17.568175,2019-02-26,
c0876,25.652320861816406,40.334342,17.568175,2019-02-27,
c0876,9.55257511138916,40.334342,17.568175,2019-02-28,
c0876,23.51556396484375,40.334342,17.568175,2019-03-01,-0.2226767305754496
c0876,19.432601928710938,40.334342,17.568175,2019-03-02,
c0876,12.930892944335938,40.334342,17.568175,2019-03-03,
c0876,30.113365173339844,40.334342,17.568175,2019-03-04,
c0876,58.968265533447266,40.334342,17.568175,2019-03-05,
c0876,45.97542572021485,40.334342,17.568175,2019-03-06,-0.2639910888112536
c0876,83.3844223022461,40.334342,17.568175,2019-03-07,
c0876,46.622554779052734,40.334342,17.568175,2019-03-08,
c0876,37.73373794555664,40.334342,17.568175,2019-03-09,
c0876,47.64059066772461,40.334342,17.568175,2019-03-10,
c0876,67.47924041748047,40.334342,17.568175,2019-03-11,-0.1086304860675702
c0876,12.56840705871582,40.334342,17.568175,2019-03-12,
c0876,48.45397186279297,40.334342,17.568175,2019-03-13,
c0876,43.594451904296875,40.334342,17.568175,2019-03-14,
c0876,39.07123565673828,40.334342,17.568175,2019-03-15,
c0876,28.63509750366211,40.334342,17.568175,2019-03-16,-0.3064286203350314
c0876,32.691856384277344,40.334342,17.568175,2019-03-17,
c0876,37.20555877685547,40.334342,17.568175,2019-03-18,
c0876,54.490840911865234,40.334342,17.568175,2019-03-19,
c0876,53.68972396850586,40.334342,17.568175,2019-03-20,
c0876,24.634897232055664,40.334342,17.568175,2019-03-21,-0.3745508903195083
c0876,36.32048034667969,40.334342,17.568175,2019-03-22,
c0876,11.514954566955566,40.334342,17.568175,2019-03-23,
c0876,0.4398157000541687,40.334342,17.568175,2019-03-24,
c0876,21.000049591064453,40.334342,17.568175,2019-03-25,
c0876,38.912261962890625,40.334342,17.568175,2019-03-26,-0.3164703338202144
c0876,71.37560272216797,40.334342,17.568175,2019-03-27,
c0876,25.199308395385746,40.334342,17.568175,2019-03-28,
c0876,14.994918823242188,40.334342,17.568175,2019-03-29,
c0876,4.143003463745117,40.334342,17.568175,2019-03-30,
c0876,4.921627998352051,40.334342,17.568175,2019-03-31,-0.3253618431580731
c0876,47.06980514526367,40.334342,17.568175,2019-04-01,
c0876,63.07236862182617,40.334342,17.568175,2019-04-02,
c0876,80.4278564453125,40.334342,17.568175,2019-04-03,
c0876,71.69856262207031,40.334342,17.568175,2019-04-04,
c0876,62.22605514526367,40.334342,17.568175,2019-04-05,-0.0295382293372734
c0876,34.66018295288086,40.334342,17.568175,2019-04-06,
c0876,65.63356018066406,40.334342,17.568175,2019-04-07,
c0876,66.18351745605469,40.334342,17.568175,2019-04-08,
c0876,46.362674713134766,40.334342,17.568175,2019-04-09,
c0876,54.439697265625,40.334342,17.568175,2019-04-10,-0.2076834431491639
c0876,61.31972885131836,40.334342,17.568175,2019-04-11,
c0876,65.55513763427734,40.334342,17.568175,2019-04-12,
c0876,72.29029083251953,40.334342,17.568175,2019-04-13,
c0876,50.84527969360352,40.334342,17.568175,2019-04-14,
c0876,43.53535079956055,40.334342,17.568175,2019-04-15,-0.0386973717973685
c0876,36.57878494262695,40.334342,17.568175,2019-04-16,
