cell_id,cloud_pct,lat_center,lon_center,date,NDWI
c0511,24.395702362060547,38.307315,16.069384,2019-01-01,
c0511,33.35078811645508,38.307315,16.069384,2019-01-02,
c0511,38.22071838378906,38.307315,16.069384,2019-01-03,-0.6587912365794181
c0511,44.00314712524414,38.307315,16.069384,2019-01-04,
c0511,53.15957260131836,38.307315,16.069384,2019-01-05,-0.3442286353147264
c0511,38.429840087890625,38.307315,16.069384,2019-01-06,
c0511,37.30973052978515,38.307315,16.069384,2019-01-07,
c0511,68.29550170898438,38.307315,16.069384,2019-01-08,-0.6497271383802096
c0511,55.28771209716797,38.307315,16.069384,2019-01-09,
c0511,65.02172088623047,38.307315,16.069384,2019-01-10,-0.0354406284141051
c0511,41.504024505615234,38.307315,16.069384,2019-01-11,
c0511,50.72929382324219,38.307315,16.069384,2019-01-12,
c0511,70.51091003417969,38.307315,16.069384,2019-01-13,-0.003240732786556
c0511,26.197986602783203,38.307315,16.069384,2019-01-14,
c0511,18.750110626220703,38.307315,16.069384,2019-01-15,-0.2196724432523299
c0511,23.49140167236328,38.307315,16.069384,2019-01-16,
c0511,45.89277267456055,38.307315,16.069384,2019-01-17,
c0511,67.38711547851562,38.307315,16.069384,2019-01-18,-0.5616529060838124
c0511,73.442138671875,38.307315,16.069384,2019-01-19,
c0511,63.55883026123047,38.307315,16.069384,2019-01-20,-0.5559217937705804
c0511,78.51981353759766,38.307315,16.069384,2019-01-21,
c0511,40.35562515258789,38.307315,16.069384,2019-01-22,
c0511,72.50553894042969,38.307315,16.069384,2019-01-23,-0.0270500916643262
c0511,69.14608764648438,38.307315,16.069384,2019-01-24,
c0511,57.47917938232422,38.307315,16.069384,2019-01-25,-0.1647763975248658
c0511,57.87823867797851,38.307315,16.069384,2019-01-26,
c0511,62.72929763793945,38.307315,16.069384,2019-01-27,
c0511,65.9164047241211,38.307315,16.069384,2019-01-28,-0.0312524978459502
c0511,36.75213623046875,38.307315,16.069384,2019-01-29,
c0511,64.07217407226562,38.307315,16.069384,2019-01-30,-0.2778736678692253
c0511,62.53510665893555,38.307315,16.069384,2019-01-31,
c0511,84.40363311767578,38.307315,16.069384,2019-02-01,
c0511,84.22444915771484,38.307315,16.069384,2019-02-02,-0.0009857149949918
c0511,69.65267181396484,38.307315,16.069384,2019-02-03,
c0511,69.71729278564453,38.307315,16.069384,2019-02-04,-0.1814772538250842
c0511,59.715110778808594,38.307315,16.069384,2019-02-05,
c0511,32.260826110839844,38.307315,16.069384,2019-02-06,
c0511,13.251158714294434,38.307315,16.069384,2019-02-07,-0.5046117119491101
c0511,33.32533645629883,38.307315,16.069384,2019-02-08,
c0511,46.10972595214844,38.307315,16.069384,2019-02-09,-0.2524255010848346
c0511,50.686492919921875,38.307315,16.069384,2019-02-10,
c0511,51.37491226196289,38.307315,16.069384,2019-02-11,
c0511,38.73112869262695,38.307315,16.069384,2019-02-12,-0.0296318915012913
c0511,9.661152839660645,38.307315,16.069384,2019-02-13,
c0511,28.553651809692383,38.307315,16.069384,2019-02-14,-0.7113610221144042
c0511,17.284276962280273,38.307315,16.069384,2019-02-15,
c0511,6.6741461753845215,38.307315,16.069384,2019-02-16,
c0511,3.5825202465057373,38.307315,16.069384,2019-02-17,-0.2142309272894635
c0511,27.792537689208984,38.307315,16.069384,2019-02-18,
c0511,14.171810150146484,38.307315,16.069384,2019-02-19,-0.7043030158865138
c0511,42.68000793457031,38.307315,16.069384,2019-02-20,
c0511,21.07296371459961,38.307315,16.069384,2019-02-21,
c0511,59.19511413574219,38.307315,16.069384,2019-02-22,-0.024915843619965
c0511,15.82583713531494,38.307315,16.069384,2019-02-23,
c0511,42.178462982177734,38.307315,16.069384,2019-02-24,-0.4214406954752734
c0511,39.56498336791992,38.307315,16.069384,2019-02-25,
c0511,48.20328140258789,38.307315,16.069384,2019-02-26,
c0511,25.652320861816406,38.307315,16.069384,2019-02-27,-0.1859908069018274
c0511,9.55257511138916,38.307315,16.069384,2019-02-28,
