NDWI,cell_id,cloud_pct,lat_center,lon_center,date
-0.0022803712786153,c0149,44.68705368041992,41.246068,14.627356,2019-01-03
-9.177786850726648e-06,c0149,86.70588684082031,41.246068,14.627356,2019-01-08
0.0091397050629436,c0149,97.64938354492188,41.246068,14.627356,2019-01-13
0.0281261416948,c0149,80.91097259521484,41.246068,14.627356,2019-01-18
-0.0270958455048726,c0149,76.15276336669922,41.246068,14.627356,2019-01-23
-0.1479536673356078,c0149,60.205909729003906,41.246068,14.627356,2019-01-28
-0.0829706163024922,c0149,94.0199966430664,41.246068,14.627356,2019-02-02
-0.5240450432973692,c0149,0.0039980001747608,41.246068,14.627356,2019-02-07
-0.5308068340053849,c0149,37.17738723754883,41.246068,14.627356,2019-02-12
-0.5213448169146274,c0149,0.1636189967393875,41.246068,14.627356,2019-02-17
-0.4414684062245808,c0149,26.645837783813477,41.246068,14.627356,2019-02-22
-0.1827046181794224,c0149,12.36307144165039,41.246068,14.627356,2019-02-27
-0.4625013909460132,c0149,35.78618240356445,41.246068,14.627356,2019-03-04
-0.3730798478258674,c0149,9.769418716430664,41.246068,14.627356,2019-03-09
-0.0293220812673589,c0149,59.21657180786133,41.246068,14.627356,2019-03-14
,c0149,33.449581146240234,41.246068,14.627356,2019-03-17
-0.4988058703166746,c0149,21.092111587524418,41.246068,14.627356,2019-03-19
-0.5079575285580064,c0149,0.0018710000440478,41.246068,14.627356,2019-03-24
-0.5113392950444711,c0149,6.0144548416137695,41.246068,14.627356,2019-03-29
0.0153710696846427,c0149,79.7729721069336,41.246068,14.627356,2019-04-03
-0.1036618899006577,c0149,68.76549530029297,41.246068,14.627356,2019-04-08
-0.0927767229948873,c0149,72.80828857421875,41.246068,14.627356,2019-04-13
-0.5010595314861634,c0149,0.9326980113983154,41.246068,14.627356,2019-04-18
0.0289701644685541,c0149,78.7128677368164,41.246068,14.627356,2019-04-23
-0.3825925869979765,c0149,78.2280502319336,41.246068,14.627356,2019-04-28
-0.4788564102255235,c0149,67.92204284667969,41.246068,14.627356,2019-05-03
-0.495050896064937,c0149,33.73811721801758,41.246068,14.627356,2019-05-08
-0.4676328227124936,c0149,51.5142936706543,41.246068,14.627356,2019-05-13
-0.0603754615299279,c0149,91.22108459472656,41.246068,14.627356,2019-05-18
